Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
Vardas225        Pavardė225      4.36                4.20                
Vardas226        Pavardė226      4.80                4.60                
Vardas229        Pavardė229      4.68                4.60                
Vardas231        Pavardė231      3.88                4.20                
Vardas233        Pavardė233      3.24                3.40                
Vardas238        Pavardė238      4.84                5.20                
Vardas240        Pavardė240      3.68                3.40                
Vardas243        Pavardė243      4.48                4.20                
Vardas245        Pavardė245      3.84                4.20                
Vardas246        Pavardė246      3.96                3.40                
Vardas247        Pavardė247      3.40                3.20                
Vardas257        Pavardė257      3.72                3.40                
Vardas258        Pavardė258      4.44                4.40                
Vardas259        Pavardė259      4.92                5.20                
Vardas269        Pavardė269      3.36                3.40                
Vardas275        Pavardė275      3.44                3.40                
Vardas276        Pavardė276      3.80                3.80                
Vardas279        Pavardė279      3.36                3.40                
Vardas280        Pavardė280      2.84                2.60                
Vardas283        Pavardė283      4.08                3.80                
Vardas286        Pavardė286      3.92                4.40                
Vardas287        Pavardė287      3.84                4.00                
Vardas288        Pavardė288      4.88                4.60                
Vardas289        Pavardė289      4.12                4.20                
Vardas290        Pavardė290      4.36                4.60                
Vardas293        Pavardė293      4.08                4.60                
Vardas295        Pavardė295      3.64                3.80                
Vardas297        Pavardė297      3.20                3.60                
Vardas299        Pavardė299      2.96                2.60                
Vardas302        Pavardė302      2.96                3.00                
Vardas304        Pavardė304      3.80                3.60                
Vardas305        Pavardė305      4.28                4.60                
Vardas306        Pavardė306      4.64                5.00                
Vardas310        Pavardė310      2.40                2.00                
Vardas315        Pavardė315      4.76                5.00                
Vardas321        Pavardė321      2.96                2.80                
Vardas322        Pavardė322      2.68                2.20                
Vardas323        Pavardė323      4.72                4.20                
Vardas326        Pavardė326      4.64                4.20                
Vardas328        Pavardė328      4.80                4.60                
Vardas329        Pavardė329      3.24                3.40                
Vardas331        Pavardė331      4.76                4.80                
Vardas334        Pavardė334      3.08                3.20                
Vardas341        Pavardė341      3.68                3.60                
Vardas347        Pavardė347      2.64                2.20                
Vardas351        Pavardė351      3.28                3.20                
Vardas353        Pavardė353      3.72                3.80                
Vardas354        Pavardė354      2.44                2.40                
Vardas356        Pavardė356      2.56                2.40                
Vardas357        Pavardė357      2.92                2.80                
Vardas358        Pavardė358      4.64                4.40                
Vardas359        Pavardė359      4.32                4.60                
Vardas361        Pavardė361      3.92                3.80                
Vardas362        Pavardė362      4.36                4.60                
Vardas366        Pavardė366      3.64                3.40                
Vardas369        Pavardė369      4.64                4.60                
Vardas370        Pavardė370      3.00                2.60                
Vardas375        Pavardė375      3.96                4.20                
Vardas376        Pavardė376      3.76                4.00                
Vardas377        Pavardė377      3.48                3.40                
Vardas382        Pavardė382      4.80                5.00                
Vardas383        Pavardė383      3.92                3.80                
Vardas386        Pavardė386      2.64                2.80                
Vardas391        Pavardė391      3.12                3.00                
Vardas392        Pavardė392      2.64                2.80                
Vardas395        Pavardė395      2.88                2.60                
Vardas396        Pavardė396      3.60                3.40                
Vardas398        Pavardė398      3.80                4.00                
Vardas402        Pavardė402      4.04                4.60                
Vardas404        Pavardė404      4.80                5.00                
Vardas407        Pavardė407      3.72                3.80                
Vardas408        Pavardė408      4.60                4.80                
Vardas409        Pavardė409      3.00                3.00                
Vardas416        Pavardė416      3.64                3.80                
Vardas420        Pavardė420      4.60                4.20                
Vardas426        Pavardė426      3.20                3.00                
Vardas427        Pavardė427      4.32                4.40                
Vardas428        Pavardė428      3.32                2.80                
Vardas429        Pavardė429      3.00                3.20                
Vardas431        Pavardė431      3.68                3.60                
Vardas438        Pavardė438      4.92                4.80                
Vardas439        Pavardė439      2.68                2.60                
Vardas440        Pavardė440      4.92                5.20                
Vardas442        Pavardė442      3.60                3.80                
Vardas444        Pavardė444      2.80                2.60                
Vardas446        Pavardė446      2.80                2.20                
Vardas447        Pavardė447      4.24                4.40                
Vardas449        Pavardė449      2.40                1.80                
Vardas450        Pavardė450      3.56                3.00                
Vardas451        Pavardė451      4.00                4.40                
Vardas455        Pavardė455      3.96                4.00                
Vardas460        Pavardė460      4.88                4.80                
Vardas463        Pavardė463      4.92                5.40                
Vardas465        Pavardė465      2.48                2.60                
Vardas466        Pavardė466      3.96                4.20                
Vardas468        Pavardė468      3.12                3.20                
Vardas473        Pavardė473      3.40                3.20                
Vardas476        Pavardė476      3.52                3.40                
Vardas477        Pavardė477      3.88                3.80                
Vardas480        Pavardė480      4.84                5.00                
Vardas482        Pavardė482      4.56                4.60                
Vardas483        Pavardė483      3.48                3.80                
Vardas485        Pavardė485      3.80                4.00                
Vardas487        Pavardė487      2.96                3.00                
Vardas488        Pavardė488      4.96                5.40                
Vardas490        Pavardė490      3.92                3.60                
Vardas497        Pavardė497      2.76                2.40                
Vardas501        Pavardė501      3.00                3.00                
Vardas503        Pavardė503      4.44                4.60                
Vardas504        Pavardė504      4.40                5.00                
Vardas508        Pavardė508      3.44                3.80                
Vardas513        Pavardė513      3.88                3.80                
Vardas520        Pavardė520      3.96                4.00                
Vardas521        Pavardė521      3.00                2.80                
Vardas529        Pavardė529      3.12                3.60                
Vardas531        Pavardė531      4.96                4.60                
Vardas532        Pavardė532      3.28                3.40                
Vardas536        Pavardė536      2.52                2.40                
Vardas537        Pavardė537      2.12                2.00                
Vardas538        Pavardė538      4.48                4.60                
Vardas539        Pavardė539      3.96                4.00                
Vardas540        Pavardė540      4.88                4.80                
Vardas545        Pavardė545      2.68                2.60                
Vardas546        Pavardė546      4.48                4.80                
Vardas548        Pavardė548      4.00                4.40                
Vardas553        Pavardė553      2.80                2.80                
Vardas554        Pavardė554      2.96                2.60                
Vardas557        Pavardė557      3.72                3.20                
Vardas558        Pavardė558      3.48                3.40                
Vardas560        Pavardė560      2.84                2.20                
Vardas561        Pavardė561      3.48                3.60                
Vardas562        Pavardė562      4.68                4.60                
Vardas563        Pavardė563      4.56                4.40                
Vardas565        Pavardė565      3.84                3.60                
Vardas567        Pavardė567      4.28                3.80                
Vardas569        Pavardė569      2.72                2.80                
Vardas573        Pavardė573      4.44                4.20                
Vardas577        Pavardė577      4.52                4.40                
Vardas580        Pavardė580      4.12                4.40                
Vardas583        Pavardė583      3.68                3.40                
Vardas584        Pavardė584      4.80                5.00                
Vardas586        Pavardė586      3.08                3.00                
Vardas588        Pavardė588      3.64                3.80                
Vardas589        Pavardė589      2.48                2.60                
Vardas590        Pavardė590      3.44                3.80                
Vardas591        Pavardė591      4.12                4.00                
Vardas593        Pavardė593      3.04                3.00                
Vardas596        Pavardė596      3.44                3.40                
Vardas598        Pavardė598      4.16                4.20                
Vardas599        Pavardė599      3.12                2.80                
Vardas600        Pavardė600      3.00                3.40                
Vardas601        Pavardė601      3.00                3.00                
Vardas606        Pavardė606      4.32                4.20                
Vardas607        Pavardė607      4.08                4.40                
Vardas610        Pavardė610      4.76                5.00                
Vardas614        Pavardė614      4.56                4.80                
Vardas615        Pavardė615      2.76                2.80                
Vardas617        Pavardė617      3.96                4.80                
Vardas618        Pavardė618      4.92                5.00                
Vardas619        Pavardė619      4.92                5.00                
Vardas620        Pavardė620      3.40                3.00                
Vardas625        Pavardė625      4.28                4.60                
Vardas626        Pavardė626      4.20                4.40                
Vardas629        Pavardė629      3.56                3.60                
Vardas631        Pavardė631      3.12                3.60                
Vardas636        Pavardė636      3.24                3.40                
Vardas637        Pavardė637      3.36                3.80                
Vardas639        Pavardė639      2.96                2.80                
Vardas641        Pavardė641      3.60                3.60                
Vardas642        Pavardė642      4.28                4.20                
Vardas643        Pavardė643      2.96                2.60                
Vardas645        Pavardė645      2.68                2.80                
Vardas647        Pavardė647      3.80                4.00                
Vardas652        Pavardė652      3.08                3.20                
Vardas653        Pavardė653      2.36                1.80                
Vardas654        Pavardė654      2.56                2.40                
Vardas655        Pavardė655      3.76                3.60                
Vardas658        Pavardė658      4.28                4.20                
Vardas661        Pavardė661      2.76                2.60                
Vardas664        Pavardė664      3.20                3.20                
Vardas666        Pavardė666      3.28                3.60                
Vardas667        Pavardė667      4.24                4.40                
Vardas669        Pavardė669      2.92                2.80                
Vardas670        Pavardė670      3.76                3.60                
Vardas671        Pavardė671      2.80                2.80                
Vardas673        Pavardė673      3.60                3.80                
Vardas681        Pavardė681      4.16                4.20                
Vardas682        Pavardė682      2.24                1.80                
Vardas686        Pavardė686      3.88                4.00                
Vardas687        Pavardė687      2.84                3.20                
Vardas688        Pavardė688      3.08                3.00                
Vardas690        Pavardė690      3.68                3.40                
Vardas691        Pavardė691      3.28                3.20                
Vardas698        Pavardė698      4.48                4.60                
Vardas700        Pavardė700      2.24                1.80                
Vardas702        Pavardė702      4.00                4.60                
Vardas703        Pavardė703      4.28                4.60                
Vardas704        Pavardė704      3.44                3.80                
Vardas706        Pavardė706      2.92                2.80                
Vardas709        Pavardė709      2.60                2.40                
Vardas710        Pavardė710      4.04                3.80                
Vardas713        Pavardė713      4.20                4.20                
Vardas716        Pavardė716      3.68                3.80                
Vardas718        Pavardė718      4.00                4.00                
Vardas719        Pavardė719      4.08                4.40                
Vardas722        Pavardė722      4.28                4.80                
Vardas723        Pavardė723      4.80                5.00                
Vardas724        Pavardė724      3.48                3.20                
Vardas725        Pavardė725      3.12                3.20                
Vardas726        Pavardė726      4.80                4.80                
Vardas727        Pavardė727      3.92                3.80                
Vardas729        Pavardė729      3.32                3.40                
Vardas731        Pavardė731      4.20                4.40                
Vardas732        Pavardė732      2.44                2.60                
Vardas735        Pavardė735      3.36                3.40                
Vardas737        Pavardė737      3.84                3.80                
Vardas741        Pavardė741      2.12                2.00                
Vardas742        Pavardė742      4.88                4.80                
Vardas746        Pavardė746      4.32                4.00                
Vardas751        Pavardė751      2.76                2.60                
Vardas753        Pavardė753      2.68                2.60                
Vardas757        Pavardė757      3.92                3.80                
Vardas759        Pavardė759      4.68                4.40                
Vardas760        Pavardė760      3.60                3.60                
Vardas761        Pavardė761      4.84                4.80                
Vardas762        Pavardė762      3.44                3.80                
Vardas763        Pavardė763      3.48                3.20                
Vardas765        Pavardė765      3.60                3.80                
Vardas768        Pavardė768      4.44                4.60                
Vardas769        Pavardė769      4.76                4.60                
Vardas771        Pavardė771      4.76                4.20                
Vardas772        Pavardė772      4.48                4.20                
Vardas773        Pavardė773      3.08                3.60                
Vardas776        Pavardė776      4.72                4.60                
Vardas778        Pavardė778      2.76                2.60                
Vardas780        Pavardė780      4.80                4.60                
Vardas781        Pavardė781      2.60                2.60                
Vardas785        Pavardė785      3.00                3.20                
Vardas786        Pavardė786      3.88                3.80                
Vardas793        Pavardė793      3.32                3.20                
Vardas795        Pavardė795      2.28                2.20                
Vardas796        Pavardė796      3.64                3.40                
Vardas797        Pavardė797      3.72                4.20                
Vardas798        Pavardė798      4.68                4.60                
Vardas801        Pavardė801      4.04                4.40                
Vardas803        Pavardė803      2.84                2.80                
Vardas804        Pavardė804      4.48                5.00                
Vardas805        Pavardė805      3.32                3.60                
Vardas809        Pavardė809      3.76                3.80                
Vardas810        Pavardė810      2.68                2.40                
Vardas812        Pavardė812      3.76                3.60                
Vardas813        Pavardė813      3.12                3.00                
Vardas814        Pavardė814      3.76                4.00                
Vardas816        Pavardė816      3.60                3.40                
Vardas817        Pavardė817      3.52                4.00                
Vardas819        Pavardė819      4.72                5.00                
Vardas821        Pavardė821      3.44                3.80                
Vardas822        Pavardė822      4.76                5.00                
Vardas823        Pavardė823      2.92                2.80                
Vardas824        Pavardė824      3.20                3.00                
Vardas826        Pavardė826      4.80                4.60                
Vardas831        Pavardė831      4.96                5.20                
Vardas832        Pavardė832      4.48                4.60                
Vardas834        Pavardė834      3.16                3.20                
Vardas838        Pavardė838      2.88                2.20                
Vardas843        Pavardė843      3.48                3.00                
Vardas845        Pavardė845      3.72                3.20                
Vardas850        Pavardė850      4.48                4.00                
Vardas853        Pavardė853      3.76                3.20                
Vardas856        Pavardė856      3.16                3.40                
Vardas858        Pavardė858      3.68                3.20                
Vardas860        Pavardė860      2.64                2.60                
Vardas863        Pavardė863      4.52                4.40                
Vardas867        Pavardė867      3.68                3.80                
Vardas869        Pavardė869      4.68                4.20                
Vardas871        Pavardė871      4.48                4.40                
Vardas873        Pavardė873      2.52                2.60                
Vardas876        Pavardė876      3.88                4.20                
Vardas878        Pavardė878      3.44                3.40                
Vardas886        Pavardė886      4.60                4.20                
Vardas888        Pavardė888      3.84                4.00                
Vardas890        Pavardė890      4.88                4.80                
Vardas891        Pavardė891      2.48                2.40                
Vardas893        Pavardė893      4.28                4.40                
Vardas894        Pavardė894      4.64                4.80                
Vardas895        Pavardė895      4.40                4.60                
Vardas899        Pavardė899      3.08                2.80                
Vardas900        Pavardė900      3.12                2.80                
Vardas903        Pavardė903      1.72                1.60                
Vardas908        Pavardė908      3.32                3.20                
Vardas909        Pavardė909      2.96                3.20                
Vardas911        Pavardė911      4.52                4.20                
Vardas917        Pavardė917      3.16                2.80                
Vardas919        Pavardė919      3.32                3.60                
Vardas920        Pavardė920      3.16                3.20                
Vardas922        Pavardė922      3.16                3.00                
Vardas924        Pavardė924      3.32                3.60                
Vardas925        Pavardė925      4.68                4.60                
Vardas927        Pavardė927      3.80                4.00                
Vardas931        Pavardė931      2.96                3.00                
Vardas932        Pavardė932      4.40                4.40                
Vardas934        Pavardė934      4.56                4.40                
Vardas938        Pavardė938      2.60                2.80                
Vardas939        Pavardė939      4.84                4.80                
Vardas940        Pavardė940      3.00                2.60                
Vardas941        Pavardė941      4.68                5.00                
Vardas943        Pavardė943      4.32                4.20                
Vardas944        Pavardė944      3.80                3.60                
Vardas946        Pavardė946      4.04                3.80                
Vardas948        Pavardė948      4.56                4.60                
Vardas949        Pavardė949      4.00                4.20                
Vardas950        Pavardė950      4.16                4.00                
Vardas953        Pavardė953      4.56                4.80                
Vardas954        Pavardė954      3.52                3.40                
Vardas957        Pavardė957      4.08                3.80                
Vardas959        Pavardė959      3.52                4.00                
Vardas961        Pavardė961      2.76                2.80                
Vardas969        Pavardė969      3.28                3.00                
Vardas970        Pavardė970      3.40                3.20                
Vardas972        Pavardė972      3.36                3.20                
Vardas974        Pavardė974      4.92                5.20                
Vardas977        Pavardė977      3.64                3.60                
Vardas982        Pavardė982      2.64                2.60                
Vardas983        Pavardė983      4.12                4.40                
Vardas985        Pavardė985      3.28                3.00                
Vardas986        Pavardė986      3.68                3.80                
Vardas987        Pavardė987      4.12                4.20                
Vardas988        Pavardė988      4.28                4.40                
Vardas989        Pavardė989      4.16                3.60                
Vardas991        Pavardė991      2.72                3.00                
Vardas992        Pavardė992      3.08                2.80                
Vardas993        Pavardė993      4.20                4.60                
Vardas994        Pavardė994      3.64                3.40                
Vardas996        Pavardė996      4.88                5.00                
Vardas999        Pavardė999      4.92                5.40                
