Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
Vardas976        Pavardė976         5.28                4.80                
Vardas7          Pavardė7           5.28                4.80                
Vardas490        Pavardė490         5.28                5.20                
Vardas560        Pavardė560         5.28                5.20                
Vardas707        Pavardė707         5.28                5.60                
Vardas92         Pavardė92          5.32                5.00                
Vardas118        Pavardė118         5.32                5.40                
Vardas216        Pavardė216         5.32                5.40                
Vardas390        Pavardė390         5.32                5.40                
Vardas513        Pavardė513         5.32                5.80                
Vardas556        Pavardė556         5.32                5.00                
Vardas835        Pavardė835         5.32                5.40                
Vardas9          Pavardė9           5.36                5.20                
Vardas12         Pavardė12          5.36                5.20                
Vardas93         Pavardė93          5.36                4.80                
Vardas235        Pavardė235         5.36                5.20                
Vardas320        Pavardė320         5.36                5.60                
Vardas374        Pavardė374         5.36                4.80                
Vardas743        Pavardė743         5.36                4.80                
Vardas861        Pavardė861         5.36                5.20                
Vardas963        Pavardė963         5.36                5.20                
Vardas524        Pavardė524         5.36                5.20                
Vardas562        Pavardė562         5.36                5.60                
Vardas166        Pavardė166         5.40                5.80                
Vardas347        Pavardė347         5.40                5.00                
Vardas368        Pavardė368         5.40                5.40                
Vardas546        Pavardė546         5.40                5.40                
Vardas722        Pavardė722         5.40                5.80                
Vardas35         Pavardė35          5.44                5.60                
Vardas153        Pavardė153         5.44                5.20                
Vardas278        Pavardė278         5.44                5.20                
Vardas348        Pavardė348         5.44                4.80                
Vardas514        Pavardė514         5.44                5.20                
Vardas528        Pavardė528         5.44                5.20                
Vardas543        Pavardė543         5.44                5.60                
Vardas901        Pavardė901         5.44                4.00                
Vardas945        Pavardė945         5.44                5.20                
Vardas199        Pavardė199         5.48                5.40                
Vardas226        Pavardė226         5.48                6.20                
Vardas298        Pavardė298         5.48                5.80                
Vardas350        Pavardė350         5.48                5.40                
Vardas498        Pavardė498         5.48                5.80                
Vardas5          Pavardė5           5.52                5.60                
Vardas108        Pavardė108         5.52                4.80                
Vardas114        Pavardė114         5.52                5.20                
Vardas304        Pavardė304         5.52                5.60                
Vardas307        Pavardė307         5.52                5.20                
Vardas351        Pavardė351         5.52                4.80                
Vardas361        Pavardė361         5.52                6.00                
Vardas665        Pavardė665         5.52                5.20                
Vardas686        Pavardė686         5.52                6.00                
Vardas993        Pavardė993         5.52                5.60                
Vardas39         Pavardė39          5.56                6.60                
Vardas136        Pavardė136         5.56                5.80                
Vardas222        Pavardė222         5.56                5.80                
Vardas273        Pavardė273         5.56                5.80                
Vardas462        Pavardė462         5.56                5.40                
Vardas746        Pavardė746         5.56                5.40                
Vardas870        Pavardė870         5.56                5.00                
Vardas925        Pavardė925         5.56                6.20                
Vardas34         Pavardė34          5.60                5.60                
Vardas382        Pavardė382         5.60                4.40                
Vardas582        Pavardė582         5.60                5.60                
Vardas739        Pavardė739         5.60                5.60                
Vardas780        Pavardė780         5.60                4.80                
Vardas860        Pavardė860         5.60                6.00                
Vardas868        Pavardė868         5.60                5.60                
Vardas933        Pavardė933         5.60                4.80                
Vardas944        Pavardė944         5.60                6.00                
Vardas362        Pavardė362         5.64                6.60                
Vardas429        Pavardė429         5.64                5.80                
Vardas736        Pavardė736         5.64                5.80                
Vardas833        Pavardė833         5.64                5.80                
Vardas947        Pavardė947         5.64                6.60                
Vardas995        Pavardė995         5.64                6.20                
Vardas142        Pavardė142         5.68                4.80                
Vardas627        Pavardė627         5.68                6.00                
Vardas724        Pavardė724         5.68                6.00                
Vardas906        Pavardė906         5.68                5.20                
Vardas940        Pavardė940         5.68                6.00                
Vardas946        Pavardė946         5.68                6.00                
Vardas236        Pavardė236         5.72                5.80                
Vardas404        Pavardė404         5.72                5.40                
Vardas489        Pavardė489         5.72                5.80                
Vardas648        Pavardė648         5.72                5.80                
Vardas726        Pavardė726         5.72                5.80                
Vardas22         Pavardė22          5.76                5.20                
Vardas36         Pavardė36          5.76                4.80                
Vardas182        Pavardė182         5.76                6.40                
Vardas287        Pavardė287         5.76                6.00                
Vardas319        Pavardė319         5.76                5.20                
Vardas712        Pavardė712         5.76                6.00                
Vardas985        Pavardė985         5.76                5.20                
Vardas2          Pavardė2           5.80                5.80                
Vardas218        Pavardė218         5.80                6.20                
Vardas417        Pavardė417         5.80                6.60                
Vardas440        Pavardė440         5.80                6.60                
Vardas491        Pavardė491         5.80                6.20                
Vardas553        Pavardė553         5.80                6.60                
Vardas640        Pavardė640         5.80                5.80                
Vardas919        Pavardė919         5.80                5.80                
Vardas950        Pavardė950         5.80                5.40                
Vardas961        Pavardė961         5.80                6.20                
Vardas157        Pavardė157         5.84                5.60                
Vardas402        Pavardė402         5.84                6.00                
Vardas569        Pavardė569         5.84                6.00                
Vardas728        Pavardė728         5.84                5.60                
Vardas998        Pavardė998         5.84                6.00                
Vardas94         Pavardė94          5.88                5.40                
Vardas135        Pavardė135         5.88                6.20                
Vardas202        Pavardė202         5.88                5.40                
Vardas493        Pavardė493         5.88                6.20                
Vardas523        Pavardė523         5.88                5.40                
Vardas525        Pavardė525         5.88                6.20                
Vardas750        Pavardė750         5.88                5.40                
Vardas938        Pavardė938         5.88                6.20                
Vardas45         Pavardė45          5.92                6.40                
Vardas260        Pavardė260         5.92                6.00                
Vardas466        Pavardė466         5.92                6.00                
Vardas497        Pavardė497         5.92                5.60                
Vardas539        Pavardė539         5.92                6.00                
Vardas674        Pavardė674         5.92                6.80                
Vardas853        Pavardė853         5.92                5.20                
Vardas149        Pavardė149         5.96                5.40                
Vardas271        Pavardė271         5.96                6.20                
Vardas487        Pavardė487         5.96                6.20                
Vardas533        Pavardė533         5.96                6.20                
Vardas545        Pavardė545         5.96                5.80                
Vardas574        Pavardė574         5.96                6.20                
Vardas711        Pavardė711         5.96                5.80                
Vardas720        Pavardė720         5.96                6.20                
Vardas727        Pavardė727         5.96                5.40                
Vardas800        Pavardė800         5.96                5.80                
Vardas88         Pavardė88          6.00                6.00                
Vardas129        Pavardė129         6.00                6.40                
Vardas243        Pavardė243         6.00                5.60                
Vardas419        Pavardė419         6.00                6.40                
Vardas626        Pavardė626         6.00                6.00                
Vardas684        Pavardė684         6.00                6.00                
Vardas19         Pavardė19          6.04                5.80                
Vardas190        Pavardė190         6.04                6.20                
Vardas432        Pavardė432         6.04                6.20                
Vardas768        Pavardė768         6.04                5.80                
Vardas923        Pavardė923         6.04                6.60                
Vardas3          Pavardė3           6.08                6.40                
Vardas193        Pavardė193         6.08                6.00                
Vardas338        Pavardė338         6.08                6.00                
Vardas474        Pavardė474         6.08                6.40                
Vardas532        Pavardė532         6.08                6.00                
Vardas779        Pavardė779         6.08                6.40                
Vardas917        Pavardė917         6.08                6.00                
Vardas426        Pavardė426         6.12                5.40                
Vardas632        Pavardė632         6.12                5.80                
Vardas821        Pavardė821         6.12                5.40                
Vardas954        Pavardė954         6.12                6.20                
Vardas970        Pavardė970         6.12                6.20                
Vardas53         Pavardė53          6.16                6.00                
Vardas109        Pavardė109         6.16                6.80                
Vardas330        Pavardė330         6.16                6.00                
Vardas741        Pavardė741         6.16                6.40                
Vardas65         Pavardė65          6.20                5.80                
Vardas130        Pavardė130         6.20                6.60                
Vardas154        Pavardė154         6.20                5.80                
Vardas159        Pavardė159         6.20                6.20                
Vardas328        Pavardė328         6.20                6.20                
Vardas414        Pavardė414         6.20                5.80                
Vardas571        Pavardė571         6.20                6.20                
Vardas596        Pavardė596         6.20                6.20                
Vardas609        Pavardė609         6.20                6.20                
Vardas613        Pavardė613         6.20                6.20                
Vardas616        Pavardė616         6.20                5.80                
Vardas732        Pavardė732         6.20                6.60                
Vardas43         Pavardė43          6.24                6.00                
Vardas167        Pavardė167         6.24                7.20                
Vardas171        Pavardė171         6.24                6.00                
Vardas250        Pavardė250         6.24                6.80                
Vardas314        Pavardė314         6.24                6.80                
Vardas600        Pavardė600         6.24                6.40                
Vardas671        Pavardė671         6.24                6.00                
Vardas714        Pavardė714         6.24                6.40                
Vardas757        Pavardė757         6.24                7.20                
Vardas828        Pavardė828         6.24                6.80                
Vardas858        Pavardė858         6.24                5.60                
Vardas898        Pavardė898         6.24                6.40                
Vardas504        Pavardė504         6.28                6.20                
Vardas261        Pavardė261         6.28                6.60                
Vardas450        Pavardė450         6.28                6.60                
Vardas479        Pavardė479         6.28                6.20                
Vardas617        Pavardė617         6.28                5.80                
Vardas655        Pavardė655         6.28                5.80                
Vardas813        Pavardė813         6.28                6.60                
Vardas826        Pavardė826         6.28                6.60                
Vardas932        Pavardė932         6.28                6.20                
Vardas54         Pavardė54          6.32                6.80                
Vardas349        Pavardė349         6.32                6.40                
Vardas488        Pavardė488         6.32                6.40                
Vardas561        Pavardė561         6.32                6.80                
Vardas572        Pavardė572         6.32                6.40                
Vardas695        Pavardė695         6.32                6.00                
Vardas924        Pavardė924         6.32                6.00                
Vardas948        Pavardė948         6.32                5.60                
Vardas213        Pavardė213         6.36                6.60                
Vardas285        Pavardė285         6.36                5.80                
Vardas787        Pavardė787         6.36                5.80                
Vardas951        Pavardė951         6.36                6.20                
Vardas89         Pavardė89          6.40                6.80                
Vardas164        Pavardė164         6.40                6.40                
Vardas484        Pavardė484         6.40                6.40                
Vardas502        Pavardė502         6.40                6.80                
Vardas799        Pavardė799         6.40                6.80                
Vardas864        Pavardė864         6.40                6.40                
Vardas872        Pavardė872         6.40                6.80                
Vardas978        Pavardė978         6.40                6.00                
Vardas137        Pavardė137         6.44                6.20                
Vardas150        Pavardė150         6.44                6.60                
Vardas224        Pavardė224         6.44                6.60                
Vardas232        Pavardė232         6.44                7.00                
Vardas336        Pavardė336         6.44                6.60                
Vardas397        Pavardė397         6.44                6.20                
Vardas422        Pavardė422         6.44                6.60                
Vardas662        Pavardė662         6.44                6.60                
Vardas716        Pavardė716         6.44                6.60                
Vardas912        Pavardė912         6.44                6.20                
Vardas989        Pavardė989         6.44                6.20                
Vardas15         Pavardė15          6.48                6.40                
Vardas101        Pavardė101         6.48                6.80                
Vardas215        Pavardė215         6.48                6.00                
Vardas334        Pavardė334         6.48                6.40                
Vardas481        Pavardė481         6.48                6.40                
Vardas578        Pavardė578         6.48                6.80                
Vardas601        Pavardė601         6.48                6.40                
Vardas614        Pavardė614         6.48                6.80                
Vardas734        Pavardė734         6.48                7.20                
Vardas827        Pavardė827         6.48                6.00                
Vardas841        Pavardė841         6.48                6.40                
Vardas37         Pavardė37          6.52                6.60                
Vardas188        Pavardė188         6.52                6.20                
Vardas292        Pavardė292         6.52                6.20                
Vardas342        Pavardė342         6.52                6.20                
Vardas576        Pavardė576         6.52                6.20                
Vardas772        Pavardė772         6.52                7.00                
Vardas618        Pavardė618         6.52                6.60                
Vardas58         Pavardė58          6.56                6.40                
Vardas61         Pavardė61          6.56                7.20                
Vardas221        Pavardė221         6.56                6.40                
Vardas269        Pavardė269         6.56                7.20                
Vardas357        Pavardė357         6.56                7.20                
Vardas391        Pavardė391         6.56                6.40                
Vardas706        Pavardė706         6.56                7.20                
Vardas508        Pavardė508         6.60                6.20                
Vardas653        Pavardė653         6.60                6.20                
Vardas10         Pavardė10          6.60                7.40                
Vardas16         Pavardė16          6.60                6.60                
Vardas363        Pavardė363         6.60                7.00                
Vardas623        Pavardė623         6.60                6.60                
Vardas677        Pavardė677         6.60                6.60                
Vardas795        Pavardė795         6.60                6.20                
Vardas798        Pavardė798         6.60                6.60                
Vardas804        Pavardė804         6.60                6.60                
Vardas825        Pavardė825         6.60                6.60                
Vardas842        Pavardė842         6.60                6.20                
Vardas899        Pavardė899         6.60                6.20                
Vardas134        Pavardė134         6.64                6.80                
Vardas255        Pavardė255         6.64                6.80                
Vardas742        Pavardė742         6.64                6.40                
Vardas765        Pavardė765         6.64                6.40                
Vardas793        Pavardė793         6.64                6.80                
Vardas629        Pavardė629         6.68                7.00                
Vardas647        Pavardė647         6.68                6.20                
Vardas44         Pavardė44          6.68                6.60                
Vardas59         Pavardė59          6.68                7.40                
Vardas244        Pavardė244         6.68                6.60                
Vardas354        Pavardė354         6.68                6.20                
Vardas396        Pavardė396         6.68                7.00                
Vardas690        Pavardė690         6.68                7.80                
Vardas14         Pavardė14          6.72                7.20                
Vardas177        Pavardė177         6.72                7.20                
Vardas410        Pavardė410         6.72                6.00                
Vardas486        Pavardė486         6.72                7.20                
Vardas579        Pavardė579         6.72                6.40                
Vardas754        Pavardė754         6.72                7.60                
Vardas962        Pavardė962         6.72                6.80                
Vardas688        Pavardė688         6.76                6.60                
Vardas223        Pavardė223         6.76                6.20                
Vardas564        Pavardė564         6.76                7.00                
Vardas183        Pavardė183         6.80                7.20                
Vardas234        Pavardė234         6.80                6.80                
Vardas316        Pavardė316         6.80                6.80                
Vardas392        Pavardė392         6.80                7.60                
Vardas541        Pavardė541         6.80                6.80                
Vardas719        Pavardė719         6.80                6.40                
Vardas778        Pavardė778         6.80                6.40                
Vardas934        Pavardė934         6.80                6.80                
Vardas152        Pavardė152         6.84                7.00                
Vardas254        Pavardė254         6.84                6.20                
Vardas346        Pavardė346         6.84                6.20                
Vardas494        Pavardė494         6.84                6.60                
Vardas534        Pavardė534         6.84                7.00                
Vardas650        Pavardė650         6.84                7.80                
Vardas651        Pavardė651         6.84                7.00                
Vardas125        Pavardė125         6.88                7.20                
Vardas128        Pavardė128         6.88                6.40                
Vardas138        Pavardė138         6.88                7.20                
Vardas225        Pavardė225         6.88                6.80                
Vardas638        Pavardė638         6.88                7.20                
Vardas697        Pavardė697         6.88                6.80                
Vardas884        Pavardė884         6.88                6.80                
Vardas143        Pavardė143         6.92                7.80                
Vardas205        Pavardė205         6.92                6.20                
Vardas403        Pavardė403         6.92                7.00                
Vardas473        Pavardė473         6.92                7.40                
Vardas595        Pavardė595         6.92                7.00                
Vardas752        Pavardė752         6.92                7.40                
Vardas773        Pavardė773         6.92                6.60                
Vardas811        Pavardė811         6.92                7.00                
Vardas848        Pavardė848         6.92                7.80                
Vardas904        Pavardė904         6.92                7.00                
Vardas323        Pavardė323         6.96                6.80                
Vardas874        Pavardė874         6.96                7.20                
Vardas197        Pavardė197         7.00                7.40                
Vardas257        Pavardė257         7.00                7.00                
Vardas266        Pavardė266         7.00                6.60                
Vardas421        Pavardė421         7.00                7.00                
Vardas431        Pavardė431         7.00                6.20                
Vardas516        Pavardė516         7.00                7.00                
Vardas687        Pavardė687         7.00                7.00                
Vardas735        Pavardė735         7.00                7.40                
Vardas846        Pavardė846         7.00                6.60                
Vardas6          Pavardė6           7.04                7.20                
Vardas701        Pavardė701         7.04                7.20                
Vardas110        Pavardė110         7.08                6.60                
Vardas113        Pavardė113         7.08                6.60                
Vardas219        Pavardė219         7.08                7.00                
Vardas360        Pavardė360         7.08                7.00                
Vardas413        Pavardė413         7.08                7.40                
Vardas622        Pavardė622         7.08                7.00                
Vardas721        Pavardė721         7.08                7.00                
Vardas27         Pavardė27          7.12                8.00                
Vardas41         Pavardė41          7.16                7.40                
Vardas178        Pavardė178         7.16                7.40                
Vardas356        Pavardė356         7.16                6.60                
Vardas406        Pavardė406         7.16                8.20                
Vardas418        Pavardė418         7.16                7.00                
Vardas456        Pavardė456         7.16                6.60                
Vardas496        Pavardė496         7.16                7.00                
Vardas634        Pavardė634         7.16                6.60                
Vardas769        Pavardė769         7.16                7.00                
Vardas886        Pavardė886         7.16                7.40                
Vardas969        Pavardė969         7.16                7.00                
Vardas301        Pavardė301         7.20                7.20                
Vardas469        Pavardė469         7.20                7.20                
Vardas567        Pavardė567         7.20                7.20                
Vardas692        Pavardė692         7.20                6.40                
Vardas829        Pavardė829         7.20                6.80                
Vardas162        Pavardė162         7.24                7.40                
Vardas332        Pavardė332         7.24                7.40                
Vardas506        Pavardė506         7.24                7.40                
Vardas536        Pavardė536         7.24                7.40                
Vardas805        Pavardė805         7.24                7.00                
Vardas966        Pavardė966         7.24                7.00                
Vardas305        Pavardė305         7.28                7.20                
Vardas398        Pavardė398         7.28                6.80                
Vardas425        Pavardė425         7.28                7.60                
Vardas631        Pavardė631         7.28                7.20                
Vardas888        Pavardė888         7.28                6.80                
Vardas106        Pavardė106         7.32                7.80                
Vardas359        Pavardė359         7.32                7.40                
Vardas430        Pavardė430         7.32                7.80                
Vardas446        Pavardė446         7.32                7.40                
Vardas554        Pavardė554         7.32                6.60                
Vardas852        Pavardė852         7.32                6.60                
Vardas930        Pavardė930         7.32                7.40                
Vardas851        Pavardė851         7.32                7.40                
Vardas996        Pavardė996         7.32                7.00                
Vardas313        Pavardė313         7.36                7.20                
Vardas399        Pavardė399         7.36                7.60                
Vardas771        Pavardė771         7.36                6.80                
Vardas834        Pavardė834         7.36                7.60                
Vardas859        Pavardė859         7.36                7.60                
Vardas942        Pavardė942         7.36                8.00                
Vardas324        Pavardė324         7.40                7.80                
Vardas409        Pavardė409         7.40                7.00                
Vardas573        Pavardė573         7.40                7.40                
Vardas758        Pavardė758         7.40                6.60                
Vardas822        Pavardė822         7.40                7.40                
Vardas907        Pavardė907         7.40                7.80                
Vardas63         Pavardė63          7.44                7.20                
Vardas127        Pavardė127         7.44                7.60                
Vardas195        Pavardė195         7.44                7.60                
Vardas606        Pavardė606         7.44                7.60                
Vardas747        Pavardė747         7.44                8.00                
Vardas776        Pavardė776         7.44                7.20                
Vardas865        Pavardė865         7.44                7.60                
Vardas29         Pavardė29          7.44                7.20                
Vardas718        Pavardė718         7.44                7.20                
Vardas784        Pavardė784         7.44                6.80                
Vardas52         Pavardė52          7.48                7.00                
Vardas80         Pavardė80          7.48                7.40                
Vardas444        Pavardė444         7.48                7.40                
Vardas452        Pavardė452         7.48                7.00                
Vardas459        Pavardė459         7.48                6.60                
Vardas587        Pavardė587         7.48                7.80                
Vardas878        Pavardė878         7.48                7.80                
Vardas107        Pavardė107         7.48                7.80                
Vardas437        Pavardė437         7.52                7.60                
Vardas501        Pavardė501         7.52                8.00                
Vardas531        Pavardė531         7.52                7.20                
Vardas628        Pavardė628         7.52                8.00                
Vardas883        Pavardė883         7.52                7.60                
Vardas908        Pavardė908         7.52                8.80                
Vardas8          Pavardė8           7.56                7.80                
Vardas191        Pavardė191         7.56                8.20                
Vardas247        Pavardė247         7.56                7.80                
Vardas358        Pavardė358         7.56                7.80                
Vardas604        Pavardė604         7.56                7.80                
Vardas766        Pavardė766         7.56                7.80                
Vardas921        Pavardė921         7.56                7.40                
Vardas170        Pavardė170         7.60                8.00                
Vardas259        Pavardė259         7.60                6.80                
Vardas365        Pavardė365         7.60                7.60                
Vardas388        Pavardė388         7.60                7.60                
Vardas144        Pavardė144         7.64                8.20                
Vardas245        Pavardė245         7.64                7.80                
Vardas246        Pavardė246         7.64                7.40                
Vardas522        Pavardė522         7.64                7.40                
Vardas876        Pavardė876         7.64                7.80                
Vardas956        Pavardė956         7.64                7.40                
Vardas297        Pavardė297         7.68                8.00                
Vardas308        Pavardė308         7.68                8.00                
Vardas345        Pavardė345         7.68                7.20                
Vardas575        Pavardė575         7.68                7.60                
Vardas592        Pavardė592         7.68                7.60                
Vardas643        Pavardė643         7.68                7.60                
Vardas894        Pavardė894         7.68                8.40                
Vardas4          Pavardė4           7.72                7.80                
Vardas126        Pavardė126         7.72                7.80                
Vardas442        Pavardė442         7.72                7.80                
Vardas777        Pavardė777         7.72                7.80                
Vardas928        Pavardė928         7.72                7.80                
Vardas937        Pavardė937         7.72                7.40                
Vardas75         Pavardė75          7.72                7.80                
Vardas112        Pavardė112         7.76                7.20                
Vardas340        Pavardė340         7.76                7.60                
Vardas387        Pavardė387         7.76                7.60                
Vardas433        Pavardė433         7.76                8.40                
Vardas645        Pavardė645         7.76                7.20                
Vardas867        Pavardė867         7.76                8.00                
Vardas891        Pavardė891         7.76                7.60                
Vardas953        Pavardė953         7.76                7.60                
Vardas21         Pavardė21          7.80                8.60                
Vardas208        Pavardė208         7.80                8.20                
Vardas309        Pavardė309         7.80                7.80                
Vardas782        Pavardė782         7.80                7.80                
Vardas801        Pavardė801         7.80                8.20                
Vardas240        Pavardė240         7.84                8.40                
Vardas475        Pavardė475         7.84                7.60                
Vardas803        Pavardė803         7.84                8.40                
Vardas889        Pavardė889         7.84                7.60                
Vardas56         Pavardė56          7.88                7.80                
Vardas66         Pavardė66          7.88                8.60                
Vardas503        Pavardė503         7.88                9.00                
Vardas980        Pavardė980         7.88                7.80                
Vardas277        Pavardė277         7.92                8.40                
Vardas294        Pavardė294         7.92                7.20                
Vardas353        Pavardė353         7.92                8.40                
Vardas681        Pavardė681         7.92                8.40                
Vardas830        Pavardė830         7.92                7.60                
Vardas729        Pavardė729         7.96                8.20                
Vardas807        Pavardė807         7.96                8.20                
Vardas364        Pavardė364         8.00                8.00                
Vardas373        Pavardė373         8.00                7.60                
Vardas434        Pavardė434         8.00                8.40                
Vardas551        Pavardė551         8.00                8.40                
Vardas599        Pavardė599         8.00                7.20                
Vardas608        Pavardė608         8.00                8.00                
Vardas229        Pavardė229         8.04                7.80                
Vardas302        Pavardė302         8.04                7.80                
Vardas563        Pavardė563         8.04                8.60                
Vardas797        Pavardė797         8.04                7.80                
Vardas866        Pavardė866         8.04                7.80                
Vardas914        Pavardė914         8.04                7.80                
Vardas206        Pavardė206         8.08                8.00                
Vardas312        Pavardė312         8.08                8.00                
Vardas333        Pavardė333         8.08                8.00                
Vardas436        Pavardė436         8.08                8.00                
Vardas445        Pavardė445         8.08                8.00                
Vardas69         Pavardė69          8.12                8.20                
Vardas483        Pavardė483         8.12                8.20                
Vardas745        Pavardė745         8.12                8.20                
Vardas119        Pavardė119         8.16                8.40                
Vardas175        Pavardė175         8.16                8.00                
Vardas424        Pavardė424         8.16                7.60                
Vardas952        Pavardė952         8.16                8.40                
Vardas70         Pavardė70          8.20                8.60                
Vardas384        Pavardė384         8.20                8.20                
Vardas598        Pavardė598         8.20                9.00                
Vardas955        Pavardė955         8.20                8.20                
Vardas958        Pavardė958         8.20                8.60                
Vardas99         Pavardė99          8.24                8.40                
Vardas370        Pavardė370         8.24                8.40                
Vardas636        Pavardė636         8.24                8.80                
Vardas761        Pavardė761         8.24                8.00                
Vardas763        Pavardė763         8.24                7.60                
Vardas847        Pavardė847         8.24                8.00                
Vardas875        Pavardė875         8.24                8.00                
Vardas981        Pavardė981         8.24                8.00                
Vardas495        Pavardė495         8.28                8.60                
Vardas815        Pavardė815         8.28                9.00                
Vardas67         Pavardė67          8.32                8.80                
Vardas72         Pavardė72          8.32                8.40                
Vardas84         Pavardė84          8.32                9.20                
Vardas253        Pavardė253         8.32                8.00                
Vardas589        Pavardė589         8.32                8.00                
Vardas715        Pavardė715         8.32                8.40                
Vardas749        Pavardė749         8.32                8.80                
Vardas759        Pavardė759         8.32                8.00                
Vardas810        Pavardė810         8.32                8.00                
Vardas123        Pavardė123         8.36                9.00                
Vardas18         Pavardė18          8.40                8.40                
Vardas42         Pavardė42          8.40                8.00                
Vardas64         Pavardė64          8.40                8.40                
Vardas265        Pavardė265         8.40                8.80                
Vardas369        Pavardė369         8.40                8.40                
Vardas439        Pavardė439         8.40                8.40                
Vardas557        Pavardė557         8.40                8.40                
Vardas583        Pavardė583         8.40                8.40                
Vardas678        Pavardė678         8.40                8.40                
Vardas733        Pavardė733         8.40                8.80                
Vardas869        Pavardė869         8.40                7.60                
Vardas180        Pavardė180         8.44                8.60                
Vardas249        Pavardė249         8.44                9.00                
Vardas77         Pavardė77          8.48                8.40                
Vardas326        Pavardė326         8.48                8.80                
Vardas435        Pavardė435         8.48                8.80                
Vardas591        Pavardė591         8.48                9.60                
Vardas704        Pavardė704         8.48                8.80                
Vardas774        Pavardė774         8.48                8.80                
Vardas959        Pavardė959         8.48                8.80                
Vardas967        Pavardė967         8.48                8.00                
Vardas96         Pavardė96          8.52                9.00                
Vardas916        Pavardė916         8.52                8.60                
Vardas299        Pavardė299         8.56                9.60                
Vardas311        Pavardė311         8.56                9.20                
Vardas428        Pavardė428         8.56                8.40                
Vardas547        Pavardė547         8.56                8.40                
Vardas597        Pavardė597         8.56                8.80                
Vardas700        Pavardė700         8.56                8.80                
Vardas762        Pavardė762         8.56                8.00                
Vardas38         Pavardė38          8.64                8.80                
Vardas663        Pavardė663         8.64                8.80                
Vardas786        Pavardė786         8.64                8.80                
Vardas823        Pavardė823         8.64                8.40                
Vardas843        Pavardė843         8.64                9.20                
Vardas515        Pavardė515         8.68                9.00                
Vardas186        Pavardė186         8.72                8.40                
Vardas401        Pavardė401         8.72                9.20                
Vardas590        Pavardė590         8.72                8.80                
Vardas791        Pavardė791         8.72                8.80                
Vardas461        Pavardė461         8.80                9.20                
Vardas540        Pavardė540         8.80                8.80                
Vardas863        Pavardė863         8.80                9.20                
Vardas211        Pavardė211         8.84                9.00                
Vardas472        Pavardė472         8.88                9.20                
Vardas814        Pavardė814         8.88                9.20                
Vardas646        Pavardė646         8.96                9.20                
Vardas960        Pavardė960         8.96                9.20                
Vardas971        Pavardė971         9.28                9.60                
Vardas454        Pavardė454         9.36                9.20                
