Vardas         Pavardė       ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egzaminas 
Vardas64       Pavardė64     8       2       3       10      7       5       5       8       1       3       2         
Vardas65       Pavardė65     10      8       3       2       7       5       5       5       3       6       8         
Vardas66       Pavardė66     7       3       9       9       5       10      6       5       6       3       7         
Vardas67       Pavardė67     1       7       8       6       6       9       6       4       8       2       3         
Vardas68       Pavardė68     10      9       8       6       1       6       3       3       1       3       4         
Vardas69       Pavardė69     10      3       1       3       3       7       7       3       3       10      5         
Vardas70       Pavardė70     8       9       4       9       1       2       9       10      4       10      5         
Vardas71       Pavardė71     6       6       8       8       2       4       2       3       3       5       6         
Vardas72       Pavardė72     1       7       9       1       7       6       4       6       3       4       2         
Vardas73       Pavardė73     4       8       7       9       8       9       4       6       8       4       8         
Vardas74       Pavardė74     10      3       4       9       1       4       9       5       2       3       4         
Vardas75       Pavardė75     4       10      10      3       9       1       6       2       1       1       10        
Vardas76       Pavardė76     9       2       7       7       7       5       9       3       2       6       8         
Vardas77       Pavardė77     5       6       9       4       9       8       8       9       2       1       2         
Vardas78       Pavardė78     8       10      10      4       2       7       9       1       9       5       7         
Vardas79       Pavardė79     4       1       8       2       8       2       9       5       1       3       8         
Vardas80       Pavardė80     9       7       6       9       7       8       10      6       2       2       4         
Vardas81       Pavardė81     6       5       5       10      10      6       7       4       10      1       8         
Vardas82       Pavardė82     5       2       8       1       9       5       4       10      7       7       8         
Vardas83       Pavardė83     7       9       3       6       8       6       4       4       2       5       1         
Vardas84       Pavardė84     9       4       2       3       9       7       5       1       10      5       1         
Vardas85       Pavardė85     1       7       3       8       6       5       3       7       4       2       5         
Vardas86       Pavardė86     3       7       6       6       3       8       4       8       8       5       8         
Vardas87       Pavardė87     4       6       7       2       6       8       6       5       9       8       2         
Vardas88       Pavardė88     9       2       9       9       2       8       6       6       1       6       4         
Vardas89       Pavardė89     2       10      4       8       6       6       5       8       7       4       7         
Vardas90       Pavardė90     9       9       8       9       8       3       5       9       4       5       4         
Vardas91       Pavardė91     2       6       1       10      7       5       10      9       2       5       2         
Vardas92       Pavardė92     3       7       6       7       10      1       2       2       6       4       4         
Vardas93       Pavardė93     6       9       5       6       1       7       6       7       8       2       9         
Vardas94       Pavardė94     4       7       4       2       1       6       10      10      6       9       6         
Vardas95       Pavardė95     8       2       6       9       1       6       10      9       3       4       1         
Vardas96       Pavardė96     7       3       3       9       10      1       5       6       1       6       2         
Vardas97       Pavardė97     5       2       3       8       4       7       4       2       7       4       4         
Vardas98       Pavardė98     7       6       1       7       10      6       7       5       4       4       10        
Vardas99       Pavardė99     9       6       6       2       10      9       2       5       1       9       4         
Vardas100      Pavardė100    5       10      1       3       2       9       1       1       5       4       10        
Vardas101      Pavardė101    10      1       1       4       2       9       8       9       7       6       2         
Vardas102      Pavardė102    5       5       8       7       3       1       9       9       5       6       3         
Vardas103      Pavardė103    4       2       4       3       1       4       7       10      3       3       8         
Vardas104      Pavardė104    2       9       9       10      10      3       8       8       1       6       5         
Vardas105      Pavardė105    9       5       4       1       4       7       9       8       5       10      6         
Vardas106      Pavardė106    3       10      10      4       3       2       3       8       1       2       5         
Vardas107      Pavardė107    8       3       3       1       9       8       1       7       6       10      3         
Vardas108      Pavardė108    8       9       7       5       9       4       6       6       6       1       1         
Vardas109      Pavardė109    7       8       4       5       9       3       8       7       4       7       5         
Vardas110      Pavardė110    9       9       8       5       8       4       3       3       1       6       8         
Vardas111      Pavardė111    3       4       2       6       6       2       7       5       1       9       9         
Vardas112      Pavardė112    3       5       2       9       10      10      7       7       8       5       6         
Vardas113      Pavardė113    3       2       1       7       6       10      5       6       1       6       6         
Vardas114      Pavardė114    2       7       5       2       4       9       1       4       8       7       3         
Vardas115      Pavardė115    1       5       8       6       2       2       3       4       1       3       8         
Vardas116      Pavardė116    4       2       5       4       3       6       4       2       8       3       4         
Vardas117      Pavardė117    3       10      4       9       10      8       10      3       8       5       7         
Vardas118      Pavardė118    4       10      3       2       5       1       4       4       3       7       5         
Vardas119      Pavardė119    1       5       5       7       10      8       5       3       8       7       7         
Vardas120      Pavardė120    6       8       10      9       6       6       5       10      5       7       1         
Vardas121      Pavardė121    9       6       1       3       2       9       5       1       4       4       7         
Vardas122      Pavardė122    2       4       10      5       1       5       4       6       7       5       3         
Vardas123      Pavardė123    3       7       10      5       6       4       7       10      7       4       10        
Vardas124      Pavardė124    7       1       7       9       2       4       10      7       3       1       8         
Vardas125      Pavardė125    2       7       4       10      7       8       6       2       1       4       5         
Vardas126      Pavardė126    1       7       7       5       9       6       7       4       5       9       6         
Vardas127      Pavardė127    4       8       7       10      9       2       10      5       7       5       6         
Vardas128      Pavardė128    7       2       6       6       4       4       9       6       4       6       6         
Vardas129      Pavardė129    1       10      1       6       10      9       10      1       9       7       10        
Vardas130      Pavardė130    6       9       7       9       6       5       10      9       1       1       9         
Vardas131      Pavardė131    9       10      2       6       9       3       1       1       3       4       5         
Vardas132      Pavardė132    1       1       5       4       2       9       3       8       5       1       1         
Vardas133      Pavardė133    8       5       6       3       1       8       4       6       10      10      1         
Vardas134      Pavardė134    8       5       7       3       4       10      2       1       7       9       7         
Vardas135      Pavardė135    2       6       2       4       1       4       1       2       1       8       8         
Vardas136      Pavardė136    10      5       6       10      6       9       5       1       4       8       7         
Vardas137      Pavardė137    10      9       3       9       5       4       5       10      6       9       4         
Vardas138      Pavardė138    3       9       6       1       7       4       8       2       4       3       6         
Vardas139      Pavardė139    5       2       2       4       10      4       4       4       9       8       2         
Vardas140      Pavardė140    10      5       4       5       6       7       1       1       6       10      3         
Vardas141      Pavardė141    4       6       4       5       9       4       2       9       5       1       10        
Vardas142      Pavardė142    8       4       6       6       2       7       8       6       4       10      3         
Vardas143      Pavardė143    7       8       10      1       6       2       8       9       6       9       9         
Vardas144      Pavardė144    6       4       3       7       4       5       6       9       5       4       1         
Vardas145      Pavardė145    5       6       10      7       8       3       8       1       4       7       2         
Vardas146      Pavardė146    6       5       1       8       9       9       10      3       10      1       5         
Vardas147      Pavardė147    8       4       8       4       7       6       3       10      1       9       1         
Vardas148      Pavardė148    1       9       9       9       9       5       9       7       6       2       2         
Vardas149      Pavardė149    5       10      7       1       9       2       4       2       4       1       10        
Vardas150      Pavardė150    6       4       6       4       5       9       9       5       6       2       4         
Vardas151      Pavardė151    9       3       1       7       4       3       5       9       6       8       6         
Vardas152      Pavardė152    10      7       3       7       10      9       10      3       4       7       10        
Vardas153      Pavardė153    1       3       8       3       6       6       10      7       10      6       8         
Vardas154      Pavardė154    2       4       5       10      9       1       7       8       9       3       5         
Vardas155      Pavardė155    7       4       4       1       9       5       6       4       1       7       8         
Vardas156      Pavardė156    3       2       2       10      10      9       4       2       1       2       3         
Vardas157      Pavardė157    1       9       2       9       8       2       10      6       6       5       2         
Vardas158      Pavardė158    7       5       9       8       4       5       10      5       1       9       10        
Vardas159      Pavardė159    8       6       6       1       2       7       5       10      2       9       7         
Vardas160      Pavardė160    4       6       5       6       7       10      5       7       10      7       4         
Vardas161      Pavardė161    9       10      3       2       6       9       4       6       10      1       9         
Vardas162      Pavardė162    7       10      10      1       10      5       10      10      4       5       9         
Vardas163      Pavardė163    6       2       4       7       8       9       10      2       3       3       1         
Vardas164      Pavardė164    6       10      1       1       8       2       10      9       4       2       7         
Vardas165      Pavardė165    2       1       2       8       9       5       3       3       9       3       7         
Vardas166      Pavardė166    9       1       9       3       9       10      7       5       1       2       2         
Vardas167      Pavardė167    7       6       10      7       6       8       2       10      5       7       4         
Vardas168      Pavardė168    4       1       9       10      10      6       2       8       5       1       9         
Vardas169      Pavardė169    1       3       8       7       9       6       8       7       10      10      1         
Vardas170      Pavardė170    7       4       3       8       7       5       4       10      4       1       4         
Vardas171      Pavardė171    2       9       6       9       2       10      7       7       10      10      5         
Vardas172      Pavardė172    5       9       5       6       1       2       6       2       6       3       1         
Vardas173      Pavardė173    5       10      6       3       6       1       9       10      4       10      3         
Vardas174      Pavardė174    9       10      1       2       3       9       6       7       3       4       10        
Vardas175      Pavardė175    7       4       5       2       3       7       8       10      8       2       9         
Vardas176      Pavardė176    8       4       7       2       3       7       9       5       5       10      10        
Vardas177      Pavardė177    1       6       3       9       7       8       6       1       1       6       8         
Vardas178      Pavardė178    5       10      5       3       6       6       5       10      5       10      8         
Vardas179      Pavardė179    4       1       8       1       6       4       9       9       8       10      3         
Vardas180      Pavardė180    8       2       9       10      2       1       9       3       4       6       2         
Vardas181      Pavardė181    1       3       4       8       7       4       10      6       7       2       7         
Vardas182      Pavardė182    8       5       10      4       3       4       2       2       7       6       10        
Vardas183      Pavardė183    1       9       8       5       5       2       5       4       2       2       8         
Vardas184      Pavardė184    8       5       6       9       5       2       1       2       4       10      6         
Vardas185      Pavardė185    10      10      4       6       1       10      1       3       1       7       7         
Vardas186      Pavardė186    8       6       7       4       1       5       7       6       3       3       2         
Vardas187      Pavardė187    4       1       10      10      6       4       7       6       5       4       5         
Vardas188      Pavardė188    6       10      1       2       9       5       9       4       1       8       6         
Vardas189      Pavardė189    9       4       3       8       5       2       1       1       1       5       7         
Vardas190      Pavardė190    3       3       3       5       2       2       5       5       3       3       7         
Vardas191      Pavardė191    10      2       1       6       5       2       10      2       9       1       6         
Vardas192      Pavardė192    10      10      7       4       2       1       4       1       10      5       5         
Vardas193      Pavardė193    2       7       3       10      3       9       1       4       3       7       6         
Vardas194      Pavardė194    7       6       1       7       4       6       6       1       4       7       4         
Vardas195      Pavardė195    2       2       8       2       1       1       7       9       7       4       8         
Vardas196      Pavardė196    9       1       2       1       7       7       5       1       9       7       9         
Vardas197      Pavardė197    2       9       2       10      1       9       10      3       10      4       7         
Vardas198      Pavardė198    1       7       1       4       6       6       3       7       10      7       4         
Vardas199      Pavardė199    4       2       9       8       10      1       6       9       6       8       2         
Vardas200      Pavardė200    9       1       2       8       9       2       8       7       8       6       2         
Vardas201      Pavardė201    7       1       1       1       2       7       8       7       3       9       10        
Vardas202      Pavardė202    2       4       5       5       3       4       6       6       1       2       1         
Vardas203      Pavardė203    2       3       6       5       9       8       3       5       3       5       7         
Vardas204      Pavardė204    1       6       5       8       3       3       10      4       1       2       5         
Vardas205      Pavardė205    6       4       6       10      3       5       9       8       5       8       2         
Vardas206      Pavardė206    10      9       9       9       5       1       3       5       5       10      1         
Vardas207      Pavardė207    9       5       8       7       6       9       3       10      3       5       5         
Vardas208      Pavardė208    6       10      3       2       4       4       10      2       7       5       8         
Vardas209      Pavardė209    6       5       8       8       4       10      7       2       6       5       5         
Vardas210      Pavardė210    2       7       8       2       10      8       3       4       10      7       2         
Vardas211      Pavardė211    9       10      10      9       6       3       1       10      2       9       5         
Vardas212      Pavardė212    8       8       4       5       9       8       5       7       4       4       7         
Vardas213      Pavardė213    10      10      8       10      10      3       4       3       10      1       4         
Vardas214      Pavardė214    9       7       6       2       8       1       4       8       4       3       4         
Vardas215      Pavardė215    1       2       5       3       9       1       7       1       7       9       9         
Vardas216      Pavardė216    2       5       3       7       9       3       7       8       2       6       9         
Vardas217      Pavardė217    6       2       6       6       9       3       9       1       4       4       1         
Vardas218      Pavardė218    6       10      8       10      7       10      3       2       2       5       1         
Vardas219      Pavardė219    7       2       1       10      3       1       2       3       5       3       4         
Vardas220      Pavardė220    2       5       2       3       6       5       9       6       7       9       10        
Vardas221      Pavardė221    2       3       8       4       9       5       8       2       5       5       2         
Vardas222      Pavardė222    4       2       3       10      6       6       7       7       3       1       4         
Vardas223      Pavardė223    4       9       8       7       9       1       8       5       5       4       4         
Vardas224      Pavardė224    5       4       1       6       10      4       4       8       7       10      2         
Vardas225      Pavardė225    1       3       6       7       2       3       4       2       1       5       5         
Vardas226      Pavardė226    2       2       9       4       6       1       4       7       1       9       5         
Vardas227      Pavardė227    7       5       2       8       10      6       1       1       2       8       5         
Vardas228      Pavardė228    7       4       6       5       6       3       7       3       10      6       7         
Vardas229      Pavardė229    3       7       5       9       7       4       6       1       5       10      4         
Vardas230      Pavardė230    9       1       1       8       7       5       2       10      3       9       9         
Vardas231      Pavardė231    9       8       2       3       7       10      8       7       9       4       2         
Vardas232      Pavardė232    8       6       7       6       2       1       9       4       6       6       9         
Vardas233      Pavardė233    4       8       10      8       1       4       6       10      10      5       1         
Vardas234      Pavardė234    3       8       7       3       10      3       7       2       4       5       6         
Vardas235      Pavardė235    5       3       7       6       2       4       8       3       2       7       6         
Vardas236      Pavardė236    10      4       3       10      5       4       9       4       8       1       5         
Vardas237      Pavardė237    3       10      10      10      8       5       3       9       2       4       7         
Vardas238      Pavardė238    9       10      1       10      7       7       9       8       9       6       3         
Vardas239      Pavardė239    1       10      8       9       3       4       6       8       5       7       9         
Vardas240      Pavardė240    2       4       7       8       9       10      4       4       4       10      2         
Vardas241      Pavardė241    1       3       6       2       8       8       3       2       5       9       10        
Vardas242      Pavardė242    6       1       1       8       8       5       9       6       1       4       6         
Vardas243      Pavardė243    10      6       1       5       2       10      10      4       3       1       4         
Vardas244      Pavardė244    1       5       3       2       5       3       3       8       8       6       8         
Vardas245      Pavardė245    1       10      10      1       7       6       8       6       1       1       3         
Vardas246      Pavardė246    8       3       4       1       9       10      3       10      4       2       3         
Vardas247      Pavardė247    5       3       4       1       1       4       3       6       3       10      3         
Vardas248      Pavardė248    9       6       8       6       4       3       8       3       2       8       9         
Vardas249      Pavardė249    4       5       2       8       6       1       6       7       2       8       7         
Vardas250      Pavardė250    1       9       10      9       6       3       4       3       7       1       10        
Vardas251      Pavardė251    2       6       1       1       7       10      8       6       10      6       9         
Vardas252      Pavardė252    7       7       4       7       6       8       8       6       2       9       8         
Vardas253      Pavardė253    1       10      8       4       7       9       1       7       7       5       7         
Vardas254      Pavardė254    10      7       5       3       10      6       4       2       5       5       7         
Vardas255      Pavardė255    6       5       10      7       2       9       6       5       10      10      8         
Vardas256      Pavardė256    2       8       1       4       3       1       9       2       7       6       10        
Vardas257      Pavardė257    7       5       3       8       3       8       9       2       1       2       3         
Vardas258      Pavardė258    9       3       5       4       8       5       4       5       3       5       4         
Vardas259      Pavardė259    9       10      8       10      8       3       10      5       5       10      3         
Vardas260      Pavardė260    5       3       5       10      3       4       9       1       7       3       9         
Vardas261      Pavardė261    6       10      9       6       5       1       5       1       4       10      9         
Vardas262      Pavardė262    8       6       8       1       10      4       7       2       2       5       7         
Vardas263      Pavardė263    3       3       9       9       4       9       8       10      1       8       10        
Vardas264      Pavardė264    10      1       2       6       6       9       5       1       2       10      8         
Vardas265      Pavardė265    3       8       6       3       7       6       1       7       5       6       9         
Vardas266      Pavardė266    6       8       6       2       5       4       6       10      6       8       9         
Vardas267      Pavardė267    1       7       1       10      4       3       4       6       9       8       10        
Vardas268      Pavardė268    8       2       6       4       2       1       10      9       3       4       6         
Vardas269      Pavardė269    5       6       7       3       2       5       6       9       2       9       2         
Vardas270      Pavardė270    9       2       5       8       4       5       3       7       5       5       9         
Vardas271      Pavardė271    8       9       6       3       10      2       10      3       2       4       7         
Vardas272      Pavardė272    10      3       1       5       1       4       10      7       1       7       8         
Vardas273      Pavardė273    9       2       3       4       3       8       6       3       5       10      5         
Vardas274      Pavardė274    6       5       2       7       2       2       6       9       5       9       9         
Vardas275      Pavardė275    9       3       2       4       5       3       6       7       9       8       2         
Vardas276      Pavardė276    2       9       3       5       4       8       6       1       5       7       3         
Vardas277      Pavardė277    1       8       1       4       8       6       9       2       6       5       8         
Vardas278      Pavardė278    8       9       3       9       7       5       6       5       10      1       10        
Vardas279      Pavardė279    9       3       3       2       6       6       10      3       5       7       2         
Vardas280      Pavardė280    4       3       9       6       4       3       2       5       2       3       2         
Vardas281      Pavardė281    4       8       2       5       8       2       3       3       8       9       10        
Vardas282      Pavardė282    3       1       4       3       7       2       4       4       7       2       6         
Vardas283      Pavardė283    2       10      9       7       5       5       7       3       5       4       3         
Vardas284      Pavardė284    10      10      8       2       7       2       5       8       5       8       6         
Vardas285      Pavardė285    4       1       5       7       8       10      2       5       9       7       7         
Vardas286      Pavardė286    8       5       9       8       6       1       4       8       9       10      2         
Vardas287      Pavardė287    3       6       10      8       3       8       9       5       7       7       2         
Vardas288      Pavardė288    5       1       4       4       9       2       10      4       5       3       5         
Vardas289      Pavardė289    3       8       6       10      2       2       5       8       6       8       3         
Vardas290      Pavardė290    2       6       9       9       9       4       5       8       3       9       3         
Vardas291      Pavardė291    6       9       3       6       3       1       4       3       5       9       10        
Vardas292      Pavardė292    2       3       8       3       3       10      9       2       9       5       9         
Vardas293      Pavardė293    9       7       3       2       1       9       7       7       4       8       3         
Vardas294      Pavardė294    5       4       10      3       2       3       9       5       5       8       10        
Vardas295      Pavardė295    10      2       3       8       10      2       4       7       9       6       2         
Vardas296      Pavardė296    5       6       10      9       10      3       7       9       4       7       7         
Vardas297      Pavardė297    10      1       4       7       9       10      10      8       3       3       1         
Vardas298      Pavardė298    5       5       3       9       6       10      8       3       2       5       7         
Vardas299      Pavardė299    4       10      10      5       3       7       1       5       9       5       1         
Vardas300      Pavardė300    4       7       9       7       6       3       10      5       5       6       6         
Vardas301      Pavardė301    2       9       9       5       10      10      9       6       2       1       8         
Vardas302      Pavardė302    6       5       6       8       6       4       2       8       9       5       1         
Vardas303      Pavardė303    9       9       10      5       4       8       2       9       5       4       7         
Vardas304      Pavardė304    1       8       5       9       6       9       6       5       6       10      2         
Vardas305      Pavardė305    8       6       5       7       8       2       9       3       7       7       3         
Vardas306      Pavardė306    2       2       1       9       7       8       6       4       8       9       4         
Vardas307      Pavardė307    5       2       2       9       4       8       6       7       9       4       8         
Vardas308      Pavardė308    7       7       5       2       5       7       9       7       1       1       6         
Vardas309      Pavardė309    8       8       9       9       8       4       1       2       6       2       8         
Vardas310      Pavardė310    3       1       9       9       4       8       3       2       4       2       1         
Vardas311      Pavardė311    9       3       7       6       8       10      2       5       2       9       5         
Vardas312      Pavardė312    8       8       1       3       10      3       1       10      10      9       7         
Vardas313      Pavardė313    5       6       3       9       2       7       1       10      10      3       9         
Vardas314      Pavardė314    5       1       6       10      3       3       9       10      4       8       10        
Vardas315      Pavardė315    8       9       3       2       2       6       3       9       10      7       4         
Vardas316      Pavardė316    8       6       2       6       10      3       10      6       3       4       6         
Vardas317      Pavardė317    4       10      5       1       2       2       9       9       2       8       6         
Vardas318      Pavardė318    10      5       4       10      5       4       2       6       10      1       6         
Vardas319      Pavardė319    5       4       6       2       1       1       6       7       3       2       9         
Vardas320      Pavardė320    7       4       10      6       10      6       2       2       7       4       6         
Vardas321      Pavardė321    5       10      3       9       7       6       5       2       10      2       1         
Vardas322      Pavardė322    5       8       2       10      10      1       3       1       10      2       1         
Vardas323      Pavardė323    6       3       2       6       10      3       1       2       9       1       5         
Vardas324      Pavardė324    9       7       5       9       8       8       2       6       9       4       9         
Vardas325      Pavardė325    7       7       6       8       1       8       10      5       1       2       8         
Vardas326      Pavardė326    3       1       5       10      1       3       3       7       5       3       5         
Vardas327      Pavardė327    4       4       9       8       7       3       6       2       3       3       8         
Vardas328      Pavardė328    6       10      4       5       4       5       9       3       7       7       4         
Vardas329      Pavardė329    3       6       8       7       1       6       8       10      7       10      1         
Vardas330      Pavardė330    7       1       3       7       6       3       8       4       5       9       9         
Vardas331      Pavardė331    6       8       6       6       4       5       1       9       5       9       4         
Vardas332      Pavardė332    7       3       4       9       2       1       6       1       7       9       6         
Vardas333      Pavardė333    7       9       1       1       4       10      7       5       8       3       8         
Vardas334      Pavardė334    9       1       6       8       1       5       7       2       5       3       2         
Vardas335      Pavardė335    2       6       5       2       5       7       9       10      6       9       8         
Vardas336      Pavardė336    9       3       10      6       1       4       6       6       7       5       7         
Vardas337      Pavardė337    2       5       6       4       7       10      3       6       4       7       9         
Vardas338      Pavardė338    8       9       5       2       3       6       1       1       8       4       9         
Vardas339      Pavardė339    6       6       2       8       7       5       7       2       6       1       6         
Vardas340      Pavardė340    3       2       8       4       6       5       7       2       8       3       10        
Vardas341      Pavardė341    8       2       5       6       4       6       5       8       8       10      2         
Vardas342      Pavardė342    3       10      9       2       9       9       8       9       1       10      7         
Vardas343      Pavardė343    7       3       4       1       8       8       8       10      4       9       5         
Vardas344      Pavardė344    2       1       3       1       1       5       7       9       3       8       7         
Vardas345      Pavardė345    1       2       1       2       7       9       3       9       5       4       10        
Vardas346      Pavardė346    5       9       3       10      1       8       10      3       10      10      4         
Vardas347      Pavardė347    2       2       7       4       1       8       1       3       2       6       2         
Vardas348      Pavardė348    4       2       2       10      5       10      9       9       8       5       9         
Vardas349      Pavardė349    10      8       10      3       7       4       6       7       3       8       7         
Vardas350      Pavardė350    4       3       7       9       9       6       4       2       6       9       5         
Vardas351      Pavardė351    6       10      7       1       3       5       2       5       10      3       2         
Vardas352      Pavardė352    5       5       2       7       9       10      3       4       10      3       7         
Vardas353      Pavardė353    8       6       7       4       7       2       7       3       1       3       3         
Vardas354      Pavardė354    4       6       3       1       9       8       5       1       2       7       1         
Vardas355      Pavardė355    3       7       8       1       9       7       6       5       2       7       5         
Vardas356      Pavardė356    9       8       3       2       6       4       6       5       4       2       1         
Vardas357      Pavardė357    10      3       6       1       5       9       1       10      5       8       1         
Vardas358      Pavardė358    5       10      6       4       2       5       6       5       5       8       4         
Vardas359      Pavardė359    8       2       10      1       1       10      6       6       10      9       3         
Vardas360      Pavardė360    9       10      2       1       5       8       1       9       8       4       6         
Vardas361      Pavardė361    4       9       7       10      5       5       2       1       7       3       3         
Vardas362      Pavardė362    8       5       2       10      8       4       9       6       3       9       3         
Vardas363      Pavardė363    6       2       3       8       1       5       1       3       3       6       7         
Vardas364      Pavardė364    10      3       8       9       1       9       7       1       7       5       10        
Vardas365      Pavardė365    5       5       5       8       4       9       7       2       7       10      9         
Vardas366      Pavardė366    4       6       10      9       6       10      4       3       4       5       2         
Vardas367      Pavardė367    9       9       10      1       7       7       4       8       5       5       10        
Vardas368      Pavardė368    8       2       8       6       6       1       1       8       5       3       6         
Vardas369      Pavardė369    10      5       9       3       6       2       1       10      1       9       4         
Vardas370      Pavardė370    10      4       10      4       9       2       2       10      3       6       1         
Vardas371      Pavardė371    4       3       8       1       4       6       2       10      2       5       10        
Vardas372      Pavardė372    1       8       1       5       10      6       5       1       7       2       10        
Vardas373      Pavardė373    2       5       1       2       9       1       3       5       6       1       6         
Vardas374      Pavardė374    5       6       9       8       2       8       8       6       10      8       9         
Vardas375      Pavardė375    7       7       4       4       7       7       6       5       1       6       3         
Vardas376      Pavardė376    10      9       1       8       8       4       7       7       6       4       2         
Vardas377      Pavardė377    1       5       7       1       5       3       10      7       2       1       3         
Vardas378      Pavardė378    7       9       9       10      4       1       9       4       3       4       8         
Vardas379      Pavardė379    10      9       1       10      1       8       7       7       7       8       9         
Vardas380      Pavardė380    10      5       6       7       6       7       6       1       1       2       7         
Vardas381      Pavardė381    1       5       6       3       4       6       10      1       5       3       7         
Vardas382      Pavardė382    8       7       2       3       6       8       4       8       8       6       4         
Vardas383      Pavardė383    5       1       8       2       5       8       4       1       3       1       4         
Vardas384      Pavardė384    2       6       3       1       3       8       7       4       2       1       6         
Vardas385      Pavardė385    6       5       10      10      6       9       6       3       4       9       6         
