Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
Vardas840        Pavardė840         2.92                2.60                
Vardas214        Pavardė214         2.96                2.40                
Vardas239        Pavardė239         2.96                3.20                
Vardas295        Pavardė295         2.96                2.40                
Vardas612        Pavardė612         2.96                2.80                
Vardas730        Pavardė730         2.96                3.20                
Vardas831        Pavardė831         2.96                3.20                
Vardas975        Pavardė975         2.96                2.40                
Vardas33         Pavardė33          3.00                3.40                
Vardas172        Pavardė172         3.00                3.40                
Vardas521        Pavardė521         3.00                3.40                
Vardas17         Pavardė17          3.04                2.80                
Vardas282        Pavardė282         3.04                3.20                
Vardas530        Pavardė530         3.04                2.80                
Vardas767        Pavardė767         3.04                2.80                
Vardas26         Pavardė26          3.08                2.60                
Vardas20         Pavardė20          3.08                2.60                
Vardas60         Pavardė60          3.08                3.40                
Vardas98         Pavardė98          3.08                3.40                
Vardas105        Pavardė105         3.08                3.40                
Vardas238        Pavardė238         3.08                3.40                
Vardas318        Pavardė318         3.08                2.60                
Vardas415        Pavardė415         3.08                3.40                
Vardas458        Pavardė458         3.08                3.00                
Vardas558        Pavardė558         3.08                2.60                
Vardas987        Pavardė987         3.08                2.60                
Vardas988        Pavardė988         3.08                3.00                
Vardas275        Pavardė275         3.12                3.20                
Vardas381        Pavardė381         3.12                2.80                
Vardas526        Pavardė526         3.12                3.20                
Vardas194        Pavardė194         3.16                2.60                
Vardas237        Pavardė237         3.16                2.60                
Vardas416        Pavardė416         3.16                3.00                
Vardas911        Pavardė911         3.16                2.60                
Vardas968        Pavardė968         3.16                2.20                
Vardas74         Pavardė74          3.16                3.40                
Vardas620        Pavardė620         3.16                3.80                
Vardas630        Pavardė630         3.16                2.60                
Vardas73         Pavardė73          3.20                3.20                
Vardas615        Pavardė615         3.20                2.80                
Vardas625        Pavardė625         3.20                3.20                
Vardas672        Pavardė672         3.20                2.80                
Vardas854        Pavardė854         3.20                3.20                
Vardas994        Pavardė994         3.20                3.20                
Vardas115        Pavardė115         3.24                3.40                
Vardas902        Pavardė902         3.24                3.40                
Vardas939        Pavardė939         3.24                3.40                
Vardas207        Pavardė207         3.28                2.80                
Vardas252        Pavardė252         3.28                3.20                
Vardas272        Pavardė272         3.28                3.60                
Vardas355        Pavardė355         3.28                2.80                
Vardas451        Pavardė451         3.28                2.80                
Vardas511        Pavardė511         3.28                3.20                
Vardas519        Pavardė519         3.28                3.60                
Vardas635        Pavardė635         3.28                2.80                
Vardas642        Pavardė642         3.28                3.60                
Vardas649        Pavardė649         3.28                3.20                
Vardas806        Pavardė806         3.28                3.20                
Vardas897        Pavardė897         3.28                3.20                
Vardas341        Pavardė341         3.32                2.60                
Vardas775        Pavardė775         3.32                3.40                
Vardas49         Pavardė49          3.32                3.40                
Vardas76         Pavardė76          3.32                3.80                
Vardas111        Pavardė111         3.32                3.00                
Vardas32         Pavardė32          3.36                2.80                
Vardas380        Pavardė380         3.36                3.20                
Vardas386        Pavardė386         3.36                3.60                
Vardas470        Pavardė470         3.36                3.20                
Vardas116        Pavardė116         3.40                3.40                
Vardas407        Pavardė407         3.40                3.00                
Vardas408        Pavardė408         3.40                3.40                
Vardas538        Pavardė538         3.40                3.40                
Vardas55         Pavardė55          3.40                4.20                
Vardas709        Pavardė709         3.40                3.40                
Vardas972        Pavardė972         3.40                3.00                
Vardas160        Pavardė160         3.44                2.80                
Vardas267        Pavardė267         3.44                3.60                
Vardas667        Pavardė667         3.44                4.00                
Vardas86         Pavardė86          3.48                3.40                
Vardas132        Pavardė132         3.48                3.00                
Vardas593        Pavardė593         3.48                3.00                
Vardas633        Pavardė633         3.48                3.00                
Vardas664        Pavardė664         3.48                3.40                
Vardas819        Pavardė819         3.48                3.00                
Vardas97         Pavardė97          3.48                3.40                
Vardas47         Pavardė47          3.52                4.00                
Vardas57         Pavardė57          3.52                3.60                
Vardas124        Pavardė124         3.52                4.00                
Vardas184        Pavardė184         3.52                3.20                
Vardas262        Pavardė262         3.52                3.20                
Vardas263        Pavardė263         3.52                3.20                
Vardas375        Pavardė375         3.52                3.60                
Vardas666        Pavardė666         3.52                4.00                
Vardas760        Pavardė760         3.52                3.60                
Vardas893        Pavardė893         3.52                3.20                
Vardas68         Pavardė68          3.56                3.40                
Vardas79         Pavardė79          3.56                3.80                
Vardas95         Pavardė95          3.56                3.40                
Vardas457        Pavardė457         3.56                3.80                
Vardas809        Pavardė809         3.56                3.40                
Vardas83         Pavardė83          3.56                4.20                
Vardas276        Pavardė276         3.56                3.40                
Vardas147        Pavardė147         3.60                3.60                
Vardas212        Pavardė212         3.60                3.60                
Vardas420        Pavardė420         3.60                3.20                
Vardas683        Pavardė683         3.60                3.60                
Vardas181        Pavardė181         3.64                3.40                
Vardas352        Pavardė352         3.64                3.00                
Vardas465        Pavardė465         3.64                3.80                
Vardas682        Pavardė682         3.64                4.20                
Vardas161        Pavardė161         3.68                3.20                
Vardas984        Pavardė984         3.68                3.60                
Vardas140        Pavardė140         3.68                3.20                
Vardas990        Pavardė990         3.68                4.00                
Vardas71         Pavardė71          3.72                3.80                
Vardas133        Pavardė133         3.72                3.80                
Vardas185        Pavardė185         3.72                4.20                
Vardas201        Pavardė201         3.72                3.80                
Vardas290        Pavardė290         3.72                3.80                
Vardas820        Pavardė820         3.72                3.80                
Vardas931        Pavardė931         3.72                3.40                
Vardas296        Pavardė296         3.72                4.20                
Vardas565        Pavardė565         3.76                3.20                
Vardas660        Pavardė660         3.76                3.20                
Vardas280        Pavardė280         3.76                4.40                
Vardas329        Pavardė329         3.76                3.60                
Vardas464        Pavardė464         3.76                3.60                
Vardas509        Pavardė509         3.76                5.20                
Vardas566        Pavardė566         3.76                4.00                
Vardas844        Pavardė844         3.76                4.00                
Vardas949        Pavardė949         3.76                4.40                
Vardas755        Pavardė755         3.80                3.80                
Vardas913        Pavardė913         3.80                3.40                
Vardas983        Pavardė983         3.80                3.80                
Vardas141        Pavardė141         3.84                3.60                
Vardas676        Pavardė676         3.84                4.40                
Vardas117        Pavardė117         3.88                3.80                
Vardas200        Pavardė200         3.88                3.80                
Vardas423        Pavardė423         3.88                3.40                
Vardas581        Pavardė581         3.88                4.60                
Vardas685        Pavardė685         3.88                3.80                
Vardas737        Pavardė737         3.88                3.80                
Vardas264        Pavardė264         3.92                4.40                
Vardas443        Pavardė443         3.92                4.00                
Vardas838        Pavardė838         3.92                3.60                
Vardas196        Pavardė196         3.96                4.20                
Vardas542        Pavardė542         3.96                3.80                
Vardas756        Pavardė756         3.96                3.40                
Vardas824        Pavardė824         3.96                3.80                
Vardas879        Pavardė879         3.96                4.60                
Vardas905        Pavardė905         3.96                4.20                
Vardas909        Pavardė909         3.96                4.20                
Vardas1000       Pavardė1000        3.96                4.20                
Vardas210        Pavardė210         3.96                3.80                
Vardas964        Pavardė964         3.96                4.20                
Vardas11         Pavardė11          4.00                4.00                
Vardas242        Pavardė242         4.00                4.00                
Vardas611        Pavardė611         4.00                4.00                
Vardas624        Pavardė624         4.00                4.00                
Vardas856        Pavardė856         4.00                4.40                
Vardas918        Pavardė918         4.00                4.40                
Vardas400        Pavardė400         4.04                4.20                
Vardas460        Pavardė460         4.04                4.20                
Vardas505        Pavardė505         4.04                3.40                
Vardas529        Pavardė529         4.04                4.20                
Vardas658        Pavardė658         4.04                3.80                
Vardas699        Pavardė699         4.04                4.60                
Vardas816        Pavardė816         4.04                3.80                
Vardas957        Pavardė957         4.04                4.20                
Vardas992        Pavardė992         4.04                3.40                
Vardas25         Pavardė25          4.08                4.40                
Vardas120        Pavardė120         4.08                4.00                
Vardas163        Pavardė163         4.08                4.80                
Vardas174        Pavardė174         4.08                3.60                
Vardas274        Pavardė274         4.08                3.60                
Vardas331        Pavardė331         4.08                4.40                
Vardas438        Pavardė438         4.08                3.60                
Vardas517        Pavardė517         4.08                4.00                
Vardas659        Pavardė659         4.08                3.60                
Vardas845        Pavardė845         4.08                3.20                
Vardas910        Pavardė910         4.08                4.40                
Vardas227        Pavardė227         4.12                4.20                
Vardas310        Pavardė310         4.12                3.80                
Vardas405        Pavardė405         4.12                4.20                
Vardas548        Pavardė548         4.12                3.80                
Vardas738        Pavardė738         4.12                4.60                
Vardas862        Pavardė862         4.12                3.80                
Vardas895        Pavardė895         4.12                5.00                
Vardas325        Pavardė325         4.16                4.00                
Vardas441        Pavardė441         4.16                4.40                
Vardas480        Pavardė480         4.16                4.40                
Vardas584        Pavardė584         4.16                4.00                
Vardas602        Pavardė602         4.16                3.60                
Vardas395        Pavardė395         4.20                3.40                
Vardas527        Pavardė527         4.20                4.20                
Vardas586        Pavardė586         4.20                5.00                
Vardas943        Pavardė943         4.20                4.60                
Vardas322        Pavardė322         4.24                5.20                
Vardas476        Pavardė476         4.24                4.40                
Vardas477        Pavardė477         4.24                4.00                
Vardas693        Pavardė693         4.24                4.40                
Vardas703        Pavardė703         4.24                4.40                
Vardas781        Pavardė781         4.24                4.00                
Vardas887        Pavardė887         4.24                4.40                
Vardas973        Pavardė973         4.24                4.00                
Vardas217        Pavardė217         4.28                4.60                
Vardas455        Pavardė455         4.28                4.20                
Vardas580        Pavardė580         4.28                3.80                
Vardas588        Pavardė588         4.28                5.00                
Vardas788        Pavardė788         4.28                4.20                
Vardas882        Pavardė882         4.28                4.20                
Vardas376        Pavardė376         4.32                4.00                
Vardas668        Pavardė668         4.32                4.40                
Vardas675        Pavardė675         4.32                4.00                
Vardas30         Pavardė30          4.36                4.20                
Vardas40         Pavardė40          4.36                4.60                
Vardas48         Pavardė48          4.36                4.60                
Vardas151        Pavardė151         4.36                4.20                
Vardas300        Pavardė300         4.36                4.20                
Vardas306        Pavardė306         4.36                4.60                
Vardas594        Pavardė594         4.36                4.20                
Vardas303        Pavardė303         4.40                4.80                
Vardas639        Pavardė639         4.40                4.00                
Vardas657        Pavardė657         4.40                4.40                
Vardas871        Pavardė871         4.40                4.80                
Vardas915        Pavardė915         4.40                4.40                
Vardas103        Pavardė103         4.44                4.20                
Vardas286        Pavardė286         4.44                4.60                
Vardas463        Pavardė463         4.44                5.40                
Vardas935        Pavardė935         4.44                4.20                
Vardas131        Pavardė131         4.48                4.80                
Vardas179        Pavardė179         4.48                4.40                
Vardas770        Pavardė770         4.48                4.40                
Vardas158        Pavardė158         4.52                4.60                
Vardas241        Pavardė241         4.52                5.00                
Vardas467        Pavardė467         4.52                4.60                
Vardas468        Pavardė468         4.52                4.20                
Vardas492        Pavardė492         4.52                5.00                
Vardas850        Pavardė850         4.52                4.20                
Vardas885        Pavardė885         4.52                4.60                
Vardas896        Pavardė896         4.52                4.60                
Vardas256        Pavardė256         4.56                4.80                
Vardas559        Pavardė559         4.56                4.40                
Vardas679        Pavardė679         4.56                4.40                
Vardas808        Pavardė808         4.56                5.20                
Vardas929        Pavardė929         4.56                4.40                
Vardas1          Pavardė1           4.60                5.00                
Vardas148        Pavardė148         4.60                3.80                
Vardas203        Pavardė203         4.60                4.20                
Vardas204        Pavardė204         4.60                4.60                
Vardas366        Pavardė366         4.60                4.60                
Vardas367        Pavardė367         4.60                4.60                
Vardas385        Pavardė385         4.60                5.00                
Vardas610        Pavardė610         4.60                4.60                
Vardas621        Pavardė621         4.60                4.20                
Vardas965        Pavardė965         4.60                4.20                
Vardas982        Pavardė982         4.60                4.60                
Vardas28         Pavardė28          4.64                4.40                
Vardas31         Pavardė31          4.64                4.40                
Vardas284        Pavardė284         4.64                4.80                
Vardas619        Pavardė619         4.64                4.40                
Vardas839        Pavardė839         4.64                4.80                
Vardas892        Pavardė892         4.64                4.80                
Vardas986        Pavardė986         4.64                4.80                
Vardas139        Pavardė139         4.68                5.40                
Vardas169        Pavardė169         4.68                5.00                
Vardas317        Pavardė317         4.68                4.20                
Vardas836        Pavardė836         4.68                5.00                
Vardas881        Pavardė881         4.68                4.60                
Vardas50         Pavardė50          4.72                5.20                
Vardas535        Pavardė535         4.72                5.20                
Vardas549        Pavardė549         4.72                4.80                
Vardas670        Pavardė670         4.72                5.20                
Vardas877        Pavardė877         4.72                4.00                
Vardas900        Pavardė900         4.72                4.80                
Vardas102        Pavardė102         4.76                5.00                
Vardas156        Pavardė156         4.76                5.00                
Vardas228        Pavardė228         4.76                4.20                
Vardas321        Pavardė321         4.76                5.40                
Vardas344        Pavardė344         4.76                5.40                
Vardas453        Pavardė453         4.76                4.20                
Vardas507        Pavardė507         4.76                4.60                
Vardas577        Pavardė577         4.76                5.00                
Vardas903        Pavardė903         4.76                5.00                
Vardas751        Pavardė751         4.80                4.40                
Vardas890        Pavardė890         4.80                4.40                
Vardas91         Pavardė91          4.80                4.40                
Vardas189        Pavardė189         4.80                5.60                
Vardas343        Pavardė343         4.80                4.80                
Vardas568        Pavardė568         4.80                4.40                
Vardas708        Pavardė708         4.80                4.40                
Vardas789        Pavardė789         4.80                5.20                
Vardas187        Pavardė187         4.84                5.00                
Vardas555        Pavardė555         4.84                5.00                
Vardas802        Pavardė802         4.84                5.40                
Vardas941        Pavardė941         4.84                4.20                
Vardas62         Pavardė62          4.88                4.80                
Vardas87         Pavardė87          4.88                4.40                
Vardas231        Pavardė231         4.88                5.20                
Vardas394        Pavardė394         4.88                5.20                
Vardas936        Pavardė936         4.88                5.60                
Vardas100        Pavardė100         4.92                4.60                
Vardas378        Pavardė378         4.92                4.60                
Vardas389        Pavardė389         4.92                4.60                
Vardas764        Pavardė764         4.92                4.60                
Vardas790        Pavardė790         4.92                5.40                
Vardas977        Pavardė977         4.92                4.60                
Vardas471        Pavardė471         4.96                4.00                
Vardas607        Pavardė607         4.96                5.60                
Vardas717        Pavardė717         4.96                5.20                
Vardas748        Pavardė748         4.96                4.40                
Vardas832        Pavardė832         4.96                4.40                
