Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
Vardas228        Pavardė228      5.92                6.40                
Vardas229        Pavardė229      7.48                7.40                
Vardas231        Pavardė231      6.44                6.40                
Vardas234        Pavardė234      5.04                5.00                
Vardas236        Pavardė236      7.04                7.00                
Vardas238        Pavardė238      8.40                9.00                
Vardas240        Pavardė240      5.64                5.60                
Vardas243        Pavardė243      8.00                7.60                
Vardas244        Pavardė244      5.00                4.80                
Vardas246        Pavardė246      6.72                6.60                
Vardas250        Pavardė250      5.04                5.00                
Vardas253        Pavardė253      5.40                6.00                
Vardas254        Pavardė254      6.08                5.40                
Vardas257        Pavardė257      6.60                6.20                
Vardas258        Pavardė258      7.08                6.80                
Vardas260        Pavardė260      5.16                4.60                
Vardas261        Pavardė261      7.08                7.40                
Vardas262        Pavardė262      7.32                7.60                
Vardas263        Pavardė263      7.84                7.80                
Vardas264        Pavardė264      7.76                8.20                
Vardas266        Pavardė266      7.84                7.60                
Vardas268        Pavardė268      6.04                6.00                
Vardas269        Pavardė269      7.16                7.00                
Vardas272        Pavardė272      6.52                6.60                
Vardas273        Pavardė273      7.68                8.00                
Vardas274        Pavardė274      8.00                7.80                
Vardas276        Pavardė276      5.08                4.80                
Vardas277        Pavardė277      7.12                7.20                
Vardas280        Pavardė280      7.84                7.80                
Vardas282        Pavardė282      6.08                5.80                
Vardas283        Pavardė283      7.16                6.60                
Vardas287        Pavardė287      5.76                5.80                
Vardas288        Pavardė288      5.08                5.00                
Vardas289        Pavardė289      7.92                8.00                
Vardas290        Pavardė290      6.32                6.40                
Vardas294        Pavardė294      6.64                6.40                
Vardas300        Pavardė300      6.44                7.00                
Vardas301        Pavardė301      8.48                8.60                
Vardas302        Pavardė302      7.00                6.80                
Vardas304        Pavardė304      5.64                5.60                
Vardas305        Pavardė305      6.76                7.20                
Vardas307        Pavardė307      6.52                6.00                
Vardas308        Pavardė308      8.64                9.00                
Vardas310        Pavardė310      5.20                5.00                
Vardas312        Pavardė312      7.64                7.60                
Vardas313        Pavardė313      7.28                7.00                
Vardas314        Pavardė314      7.64                7.40                
Vardas319        Pavardė319      6.36                6.20                
Vardas320        Pavardė320      5.96                5.80                
Vardas325        Pavardė325      8.12                8.20                
Vardas326        Pavardė326      7.80                7.40                
Vardas328        Pavardė328      7.40                7.60                
Vardas332        Pavardė332      6.92                7.40                
Vardas333        Pavardė333      7.32                7.20                
Vardas334        Pavardė334      6.80                7.00                
Vardas336        Pavardė336      7.68                8.00                
Vardas337        Pavardė337      7.68                7.20                
Vardas338        Pavardė338      7.08                7.40                
Vardas340        Pavardė340      5.52                5.60                
Vardas343        Pavardė343      5.80                6.00                
Vardas344        Pavardė344      7.76                7.40                
Vardas345        Pavardė345      6.64                6.60                
Vardas346        Pavardė346      8.24                8.20                
Vardas348        Pavardė348      6.52                6.00                
Vardas349        Pavardė349      5.20                5.20                
Vardas350        Pavardė350      8.64                8.60                
Vardas351        Pavardė351      5.92                5.80                
Vardas352        Pavardė352      5.72                5.40                
Vardas353        Pavardė353      6.24                6.40                
Vardas354        Pavardė354      6.00                6.00                
Vardas355        Pavardė355      6.60                6.60                
Vardas356        Pavardė356      7.76                7.60                
Vardas358        Pavardė358      7.28                7.20                
Vardas359        Pavardė359      6.12                6.20                
Vardas360        Pavardė360      5.68                5.20                
Vardas361        Pavardė361      6.24                6.00                
Vardas362        Pavardė362      7.48                7.20                
Vardas363        Pavardė363      7.40                7.00                
Vardas367        Pavardė367      5.24                5.00                
Vardas368        Pavardė368      8.72                8.60                
Vardas371        Pavardė371      6.52                6.60                
Vardas373        Pavardė373      7.24                7.60                
Vardas376        Pavardė376      6.80                7.00                
Vardas377        Pavardė377      5.76                5.60                
Vardas379        Pavardė379      7.16                7.20                
Vardas380        Pavardė380      6.84                6.60                
Vardas385        Pavardė385      5.04                6.00                
Vardas386        Pavardė386      7.24                7.40                
Vardas389        Pavardė389      6.04                6.20                
Vardas390        Pavardė390      5.32                5.80                
Vardas392        Pavardė392      5.44                5.60                
Vardas393        Pavardė393      7.28                7.40                
Vardas394        Pavardė394      5.48                5.40                
Vardas395        Pavardė395      6.16                5.80                
Vardas398        Pavardė398      5.68                6.00                
Vardas399        Pavardė399      7.64                8.00                
Vardas401        Pavardė401      6.24                6.20                
Vardas402        Pavardė402      7.52                7.60                
Vardas403        Pavardė403      6.52                6.40                
Vardas404        Pavardė404      6.08                6.20                
Vardas405        Pavardė405      6.96                7.40                
Vardas406        Pavardė406      7.96                8.20                
Vardas408        Pavardė408      7.00                6.80                
Vardas410        Pavardė410      7.16                7.80                
Vardas411        Pavardė411      7.32                7.20                
Vardas412        Pavardė412      6.64                6.40                
Vardas413        Pavardė413      7.92                8.40                
Vardas414        Pavardė414      6.80                7.00                
Vardas416        Pavardė416      6.00                5.80                
Vardas417        Pavardė417      6.04                5.80                
Vardas420        Pavardė420      5.68                5.80                
Vardas421        Pavardė421      7.60                7.40                
Vardas423        Pavardė423      5.56                5.80                
Vardas429        Pavardė429      6.64                6.80                
Vardas431        Pavardė431      6.32                6.40                
Vardas434        Pavardė434      6.00                6.00                
Vardas436        Pavardė436      6.24                6.40                
Vardas437        Pavardė437      7.32                7.40                
Vardas441        Pavardė441      5.72                5.40                
Vardas443        Pavardė443      5.00                5.00                
Vardas444        Pavardė444      5.48                5.20                
Vardas445        Pavardė445      8.16                8.00                
Vardas447        Pavardė447      5.16                5.40                
Vardas448        Pavardė448      7.96                8.00                
Vardas449        Pavardė449      7.60                7.80                
Vardas450        Pavardė450      5.00                4.80                
Vardas452        Pavardė452      7.20                6.80                
Vardas453        Pavardė453      6.96                6.60                
Vardas456        Pavardė456      5.28                5.40                
Vardas458        Pavardė458      6.32                6.00                
Vardas459        Pavardė459      6.76                7.20                
Vardas461        Pavardė461      7.60                7.80                
Vardas462        Pavardė462      7.28                7.00                
Vardas465        Pavardė465      5.48                5.80                
Vardas468        Pavardė468      5.20                5.00                
Vardas469        Pavardė469      5.24                5.20                
Vardas471        Pavardė471      7.92                7.40                
Vardas472        Pavardė472      7.60                7.60                
Vardas474        Pavardė474      5.48                5.20                
Vardas475        Pavardė475      6.32                6.20                
Vardas476        Pavardė476      6.44                6.60                
Vardas477        Pavardė477      6.60                6.60                
Vardas480        Pavardė480      6.76                7.20                
Vardas481        Pavardė481      7.24                6.80                
Vardas484        Pavardė484      7.80                7.60                
Vardas487        Pavardė487      5.64                5.20                
Vardas488        Pavardė488      5.08                5.00                
Vardas489        Pavardė489      7.64                8.00                
Vardas491        Pavardė491      6.08                5.80                
Vardas494        Pavardė494      7.24                7.20                
Vardas496        Pavardė496      6.24                6.20                
Vardas499        Pavardė499      5.72                5.80                
Vardas501        Pavardė501      7.88                7.60                
Vardas505        Pavardė505      6.72                7.20                
Vardas508        Pavardė508      6.56                6.40                
Vardas509        Pavardė509      8.88                9.00                
Vardas512        Pavardė512      7.64                8.00                
Vardas513        Pavardė513      8.08                7.60                
Vardas515        Pavardė515      7.48                8.20                
Vardas517        Pavardė517      7.96                7.80                
Vardas519        Pavardė519      7.84                7.60                
Vardas520        Pavardė520      6.16                6.40                
Vardas521        Pavardė521      5.96                6.00                
Vardas522        Pavardė522      6.60                6.60                
Vardas524        Pavardė524      7.56                7.60                
Vardas525        Pavardė525      7.00                6.80                
Vardas526        Pavardė526      5.24                5.00                
Vardas527        Pavardė527      6.32                6.40                
Vardas528        Pavardė528      5.52                5.40                
Vardas529        Pavardė529      5.12                5.00                
Vardas531        Pavardė531      6.76                6.80                
Vardas532        Pavardė532      5.88                6.00                
Vardas533        Pavardė533      8.40                8.60                
Vardas535        Pavardė535      8.16                8.20                
Vardas536        Pavardė536      7.20                7.00                
Vardas537        Pavardė537      5.16                5.00                
Vardas538        Pavardė538      5.80                5.40                
Vardas541        Pavardė541      7.84                7.80                
Vardas543        Pavardė543      6.28                6.60                
Vardas544        Pavardė544      5.08                4.40                
Vardas545        Pavardė545      5.72                5.80                
Vardas546        Pavardė546      6.32                6.60                
Vardas548        Pavardė548      6.48                6.40                
Vardas549        Pavardė549      6.88                6.40                
Vardas551        Pavardė551      5.24                4.80                
Vardas552        Pavardė552      6.44                6.20                
Vardas553        Pavardė553      7.56                7.40                
Vardas555        Pavardė555      6.20                6.40                
Vardas557        Pavardė557      6.12                6.00                
Vardas558        Pavardė558      6.04                5.80                
Vardas559        Pavardė559      5.60                5.80                
Vardas560        Pavardė560      6.64                6.60                
Vardas561        Pavardė561      6.88                7.00                
Vardas562        Pavardė562      6.28                6.20                
Vardas563        Pavardė563      5.32                5.40                
Vardas564        Pavardė564      5.20                5.40                
Vardas565        Pavardė565      6.48                6.60                
Vardas570        Pavardė570      7.28                6.80                
Vardas573        Pavardė573      7.92                7.80                
Vardas574        Pavardė574      5.64                5.40                
Vardas575        Pavardė575      7.84                8.00                
Vardas578        Pavardė578      6.80                7.20                
Vardas579        Pavardė579      7.56                7.20                
Vardas581        Pavardė581      6.56                5.80                
Vardas583        Pavardė583      8.36                9.20                
Vardas584        Pavardė584      6.48                7.00                
Vardas587        Pavardė587      6.48                6.60                
Vardas588        Pavardė588      5.32                5.40                
Vardas589        Pavardė589      5.68                5.40                
Vardas592        Pavardė592      6.68                6.80                
Vardas595        Pavardė595      5.88                6.20                
Vardas599        Pavardė599      5.64                6.00                
Vardas603        Pavardė603      6.48                6.60                
Vardas605        Pavardė605      6.48                6.40                
Vardas606        Pavardė606      7.28                7.40                
Vardas607        Pavardė607      6.20                6.40                
Vardas608        Pavardė608      7.80                7.60                
Vardas610        Pavardė610      7.84                8.20                
Vardas611        Pavardė611      5.48                5.40                
Vardas613        Pavardė613      8.72                9.00                
Vardas616        Pavardė616      8.16                8.00                
Vardas617        Pavardė617      7.32                7.20                
Vardas618        Pavardė618      7.56                8.00                
Vardas621        Pavardė621      6.20                6.00                
Vardas626        Pavardė626      7.32                7.40                
Vardas629        Pavardė629      5.40                5.60                
Vardas630        Pavardė630      7.20                7.20                
Vardas631        Pavardė631      7.92                8.20                
Vardas633        Pavardė633      7.40                7.60                
Vardas635        Pavardė635      7.52                7.40                
Vardas636        Pavardė636      6.72                7.00                
Vardas637        Pavardė637      5.72                5.60                
Vardas638        Pavardė638      6.44                6.20                
Vardas639        Pavardė639      7.44                7.60                
Vardas641        Pavardė641      5.04                5.20                
Vardas642        Pavardė642      5.72                6.00                
Vardas643        Pavardė643      7.24                7.20                
Vardas644        Pavardė644      7.40                7.60                
Vardas645        Pavardė645      5.32                5.20                
Vardas647        Pavardė647      6.24                6.20                
Vardas650        Pavardė650      8.12                8.20                
Vardas651        Pavardė651      5.80                5.60                
Vardas652        Pavardė652      5.08                5.20                
Vardas655        Pavardė655      5.68                5.60                
Vardas656        Pavardė656      7.32                6.80                
Vardas657        Pavardė657      8.00                8.00                
Vardas662        Pavardė662      5.84                5.80                
Vardas663        Pavardė663      7.24                7.20                
Vardas664        Pavardė664      5.68                5.80                
Vardas670        Pavardė670      7.84                8.20                
Vardas671        Pavardė671      6.68                6.20                
Vardas673        Pavardė673      6.36                6.80                
Vardas674        Pavardė674      8.24                8.40                
Vardas676        Pavardė676      5.68                5.60                
Vardas677        Pavardė677      8.00                8.40                
Vardas680        Pavardė680      5.20                5.40                
Vardas683        Pavardė683      7.72                7.60                
Vardas686        Pavardė686      7.80                7.60                
Vardas687        Pavardė687      7.24                7.00                
Vardas688        Pavardė688      5.44                5.00                
Vardas689        Pavardė689      5.76                6.00                
Vardas690        Pavardė690      5.16                4.80                
Vardas691        Pavardė691      7.12                7.40                
Vardas694        Pavardė694      6.08                5.80                
Vardas696        Pavardė696      7.68                7.80                
Vardas697        Pavardė697      7.16                6.80                
Vardas699        Pavardė699      5.56                5.60                
Vardas701        Pavardė701      6.84                7.00                
Vardas702        Pavardė702      5.36                5.40                
Vardas703        Pavardė703      5.00                4.80                
Vardas705        Pavardė705      7.04                7.00                
Vardas706        Pavardė706      6.80                6.60                
Vardas707        Pavardė707      6.92                6.60                
Vardas708        Pavardė708      6.40                6.40                
Vardas709        Pavardė709      5.52                5.60                
Vardas711        Pavardė711      7.64                7.60                
Vardas712        Pavardė712      7.72                7.40                
Vardas713        Pavardė713      5.76                6.00                
Vardas715        Pavardė715      6.64                6.60                
Vardas716        Pavardė716      7.56                7.20                
Vardas717        Pavardė717      6.16                6.20                
Vardas723        Pavardė723      7.76                7.60                
Vardas724        Pavardė724      7.16                7.00                
Vardas726        Pavardė726      5.56                5.80                
Vardas729        Pavardė729      6.84                6.60                
Vardas730        Pavardė730      6.60                7.00                
Vardas731        Pavardė731      7.92                7.80                
Vardas733        Pavardė733      8.52                8.40                
Vardas734        Pavardė734      5.80                5.60                
Vardas735        Pavardė735      7.84                7.60                
Vardas736        Pavardė736      7.56                7.80                
Vardas738        Pavardė738      5.00                5.00                
Vardas739        Pavardė739      6.92                6.60                
Vardas740        Pavardė740      7.08                6.80                
Vardas743        Pavardė743      8.36                8.00                
Vardas744        Pavardė744      6.92                7.20                
Vardas745        Pavardė745      6.96                6.80                
Vardas746        Pavardė746      7.60                7.60                
Vardas748        Pavardė748      7.48                6.60                
Vardas749        Pavardė749      5.72                5.80                
Vardas750        Pavardė750      8.08                8.40                
Vardas751        Pavardė751      7.28                7.40                
Vardas752        Pavardė752      5.32                5.20                
Vardas753        Pavardė753      6.76                6.60                
Vardas756        Pavardė756      6.44                6.60                
Vardas757        Pavardė757      6.16                5.80                
Vardas758        Pavardė758      7.56                7.40                
Vardas759        Pavardė759      6.08                6.60                
Vardas761        Pavardė761      5.52                5.20                
Vardas762        Pavardė762      5.76                5.60                
Vardas763        Pavardė763      6.96                6.80                
Vardas765        Pavardė765      8.36                8.40                
Vardas766        Pavardė766      7.08                7.00                
Vardas767        Pavardė767      7.04                7.20                
Vardas769        Pavardė769      7.28                7.40                
Vardas770        Pavardė770      8.20                7.80                
Vardas771        Pavardė771      7.28                7.40                
Vardas772        Pavardė772      6.24                6.40                
Vardas774        Pavardė774      6.60                6.60                
Vardas777        Pavardė777      8.04                8.00                
Vardas778        Pavardė778      7.28                7.60                
Vardas779        Pavardė779      7.32                7.40                
Vardas780        Pavardė780      7.40                7.20                
Vardas781        Pavardė781      5.12                5.40                
Vardas785        Pavardė785      7.52                7.20                
Vardas786        Pavardė786      5.08                5.00                
Vardas787        Pavardė787      6.12                6.00                
Vardas788        Pavardė788      6.16                6.00                
Vardas790        Pavardė790      7.08                7.40                
Vardas791        Pavardė791      5.88                5.60                
Vardas792        Pavardė792      6.40                6.20                
Vardas793        Pavardė793      5.28                5.00                
Vardas795        Pavardė795      7.96                8.00                
Vardas796        Pavardė796      7.76                7.60                
Vardas797        Pavardė797      7.52                7.40                
Vardas798        Pavardė798      5.88                5.80                
Vardas799        Pavardė799      5.72                5.80                
Vardas801        Pavardė801      7.12                7.00                
Vardas802        Pavardė802      6.72                7.40                
Vardas805        Pavardė805      6.92                7.00                
Vardas806        Pavardė806      7.04                6.80                
Vardas809        Pavardė809      7.36                7.40                
Vardas813        Pavardė813      5.96                5.00                
Vardas816        Pavardė816      6.24                6.60                
Vardas819        Pavardė819      7.36                7.00                
Vardas822        Pavardė822      7.88                7.40                
Vardas825        Pavardė825      5.48                5.20                
Vardas826        Pavardė826      6.64                6.20                
Vardas828        Pavardė828      5.68                5.80                
Vardas829        Pavardė829      7.96                7.60                
Vardas830        Pavardė830      6.24                6.00                
Vardas831        Pavardė831      6.16                6.00                
Vardas832        Pavardė832      5.96                6.20                
Vardas833        Pavardė833      6.36                6.40                
Vardas834        Pavardė834      6.84                6.80                
Vardas836        Pavardė836      5.92                5.80                
Vardas838        Pavardė838      7.88                7.80                
Vardas839        Pavardė839      6.28                6.60                
Vardas840        Pavardė840      7.44                7.60                
Vardas841        Pavardė841      7.32                7.20                
Vardas842        Pavardė842      5.00                5.20                
Vardas844        Pavardė844      5.76                5.80                
Vardas846        Pavardė846      7.76                7.60                
Vardas847        Pavardė847      5.72                6.00                
Vardas848        Pavardė848      7.68                8.20                
Vardas849        Pavardė849      5.96                5.80                
Vardas850        Pavardė850      6.76                7.00                
Vardas852        Pavardė852      5.40                5.20                
Vardas854        Pavardė854      7.32                7.40                
Vardas859        Pavardė859      7.24                7.40                
Vardas862        Pavardė862      6.60                7.00                
Vardas863        Pavardė863      6.32                6.40                
Vardas864        Pavardė864      6.44                6.20                
Vardas867        Pavardė867      6.56                6.00                
Vardas869        Pavardė869      7.88                8.00                
Vardas870        Pavardė870      7.80                8.00                
Vardas871        Pavardė871      5.80                5.40                
Vardas873        Pavardė873      8.32                8.40                
Vardas875        Pavardė875      6.48                6.80                
Vardas876        Pavardė876      6.40                6.20                
Vardas877        Pavardė877      7.16                6.60                
Vardas878        Pavardė878      5.44                5.60                
Vardas880        Pavardė880      5.00                5.00                
Vardas883        Pavardė883      6.24                6.40                
Vardas885        Pavardė885      7.08                7.00                
Vardas886        Pavardė886      7.40                7.40                
Vardas888        Pavardė888      5.76                5.60                
Vardas892        Pavardė892      6.20                6.40                
Vardas893        Pavardė893      7.96                8.20                
Vardas894        Pavardė894      5.08                4.80                
Vardas895        Pavardė895      7.04                6.60                
Vardas897        Pavardė897      8.16                8.40                
Vardas898        Pavardė898      7.16                7.40                
Vardas899        Pavardė899      6.68                7.00                
Vardas900        Pavardė900      5.24                5.20                
Vardas906        Pavardė906      5.60                6.00                
Vardas910        Pavardė910      6.48                6.20                
Vardas911        Pavardė911      7.60                8.00                
Vardas912        Pavardė912      6.60                6.40                
Vardas915        Pavardė915      7.32                7.00                
Vardas916        Pavardė916      5.80                6.00                
Vardas918        Pavardė918      5.56                5.80                
Vardas919        Pavardė919      7.24                7.20                
Vardas920        Pavardė920      7.24                7.20                
Vardas921        Pavardė921      5.84                5.80                
Vardas922        Pavardė922      6.76                7.20                
Vardas923        Pavardė923      6.12                6.40                
Vardas927        Pavardė927      5.00                4.80                
Vardas930        Pavardė930      5.00                5.20                
Vardas932        Pavardė932      8.68                8.80                
Vardas933        Pavardė933      7.40                7.40                
Vardas935        Pavardė935      7.64                7.80                
Vardas936        Pavardė936      8.92                9.00                
Vardas937        Pavardė937      7.76                7.20                
Vardas939        Pavardė939      5.00                4.80                
Vardas944        Pavardė944      5.08                5.20                
Vardas945        Pavardė945      8.36                8.40                
Vardas946        Pavardė946      6.48                6.40                
Vardas948        Pavardė948      5.80                6.00                
Vardas950        Pavardė950      5.68                5.40                
Vardas952        Pavardė952      6.64                6.20                
Vardas953        Pavardė953      5.00                4.80                
Vardas955        Pavardė955      6.76                6.40                
Vardas956        Pavardė956      8.08                7.80                
Vardas958        Pavardė958      7.52                6.80                
Vardas959        Pavardė959      8.48                9.00                
Vardas961        Pavardė961      8.64                8.80                
Vardas963        Pavardė963      6.16                6.00                
Vardas964        Pavardė964      7.36                7.00                
Vardas965        Pavardė965      5.24                5.60                
Vardas969        Pavardė969      6.64                6.60                
Vardas971        Pavardė971      8.08                8.20                
Vardas973        Pavardė973      8.24                8.20                
Vardas977        Pavardė977      5.36                4.80                
Vardas979        Pavardė979      5.96                6.00                
Vardas981        Pavardė981      5.96                5.80                
Vardas983        Pavardė983      6.32                6.40                
Vardas984        Pavardė984      8.52                8.80                
Vardas985        Pavardė985      6.92                7.20                
Vardas987        Pavardė987      7.88                7.60                
Vardas988        Pavardė988      7.52                7.40                
Vardas989        Pavardė989      7.52                7.00                
Vardas993        Pavardė993      5.68                5.40                
Vardas994        Pavardė994      5.12                5.20                
Vardas996        Pavardė996      7.36                7.80                
Vardas997        Pavardė997      8.20                7.80                
Vardas998        Pavardė998      5.48                5.40                
Vardas999        Pavardė999      5.08                5.40                
Vardas1001       Pavardė1001     7.36                6.80                
Vardas1007       Pavardė1007     7.92                7.80                
Vardas1011       Pavardė1011     7.84                7.40                
Vardas1012       Pavardė1012     7.20                7.40                
Vardas1013       Pavardė1013     8.92                9.00                
Vardas1015       Pavardė1015     8.64                8.40                
Vardas1016       Pavardė1016     7.28                7.60                
Vardas1019       Pavardė1019     5.44                5.80                
Vardas1022       Pavardė1022     6.00                5.60                
Vardas1026       Pavardė1026     5.80                5.60                
Vardas1029       Pavardė1029     7.24                7.40                
Vardas1030       Pavardė1030     5.40                5.40                
Vardas1032       Pavardė1032     5.16                4.80                
Vardas1033       Pavardė1033     7.36                7.40                
Vardas1035       Pavardė1035     5.92                5.80                
Vardas1036       Pavardė1036     6.20                6.60                
Vardas1038       Pavardė1038     8.48                8.80                
Vardas1040       Pavardė1040     6.00                5.80                
Vardas1041       Pavardė1041     6.96                7.20                
Vardas1043       Pavardė1043     5.88                5.80                
Vardas1044       Pavardė1044     8.32                8.00                
Vardas1045       Pavardė1045     6.88                6.40                
Vardas1052       Pavardė1052     5.24                5.40                
Vardas1053       Pavardė1053     7.04                7.20                
